_id , agilebrightcat_name , other_name , RA , Dec , LII , BII , PositionError95% , sqrt(TS) , MeanFlux , FluxError , Ring_id , MeanRingExposure , Classification , ConfirmedCounterparts , BZCATName , EGRET3Name , PossibleCounterparts
1   , "1AGL J0006+7311"   ,  "CTA1"   ,  1.6425   ,  73.18519   ,  119.65   ,  10.6   ,  0.63   ,  5.1   ,  "23 +/- 5"   ,  5   ,  77   ,  3486   ,  "GammaPulsar"   ,  "CTA1"   ,  "---"   ,  "3EGJ0010+7309"   ,  "-"
2   , "1AGL J0242+6111"   ,  "LSI+61303"   ,  40.55667   ,  61.18522   ,  135.88   ,  1.13   ,  0.64   ,  5.3   ,  "54 +/- 12"   ,  12   ,  78   ,  1356   ,  "HMXRB"   ,  "LSI+61303"   ,  "---"   ,  "3EGJ0241+6103"   ,  "-"
3   , "1AGL J0535+2205"   ,  "Crab"   ,  83.775   ,  22.09492   ,  184.56   ,  -5.63   ,  0.09   ,  47.2   ,  "220 +/- 15"   ,  15   ,  96   ,  3229   ,  "Pulsar"   ,  "Crab"   ,  "---"   ,  "3EGJ0534+2200"   ,  "-"
4   , "1AGL J0538-4424"   ,  "PKS0537-441"   ,  84.62375   ,  -44.40497   ,  250.44   ,  -31.2   ,  0.5   ,  5.9   ,  "43 +/- 10"   ,  10   ,  147   ,  934   ,  "Blazar-BLLac"   ,  "PKS0537-441"   ,  "BZBJ0538-4405"   ,  "3EGJ0540-4402"   ,  "-"
5   , "1AGL J0617+2236"   ,  "IC443"   ,  94.34083   ,  22.60397   ,  189.04   ,  3.07   ,  0.27   ,  9.9   ,  "69 +/- 9"   ,  9   ,  96   ,  3229   ,  "SNR"   ,  "IC443"   ,  "---"   ,  "3EGJ0617+2238"   ,  "-"
6   , "1AGL J0634+1748"   ,  "GEMINGA"   ,  98.56625   ,  17.80772   ,  195.14   ,  4.36   ,  0.05   ,  63   ,  "320 +/- 10"   ,  10   ,  96   ,  3229   ,  "Pulsar"   ,  "GEMINGA"   ,  "---"   ,  "3EGJ0633+1751"   ,  "-"
7   , "1AGL J0657+4554"   ,  "---"   ,  104.37167   ,  45.90403   ,  170.73   ,  20.11   ,  0.55   ,  5.8   ,  "31 +/- 6"   ,  6   ,  48   ,  2288   ,  "Blazar"   ,  "---"   ,  "BZUJ0654+4514"   ,  "---"   ,  "S40650+45"
8   , "1AGL J0714+3340"   ,  "---"   ,  108.6225   ,  33.67703   ,  184.12   ,  19.1   ,  0.85   ,  4.2   ,  "18 +/- 5"   ,  5   ,  64   ,  2978   ,  "Blazar"   ,  "---"   ,  "BZUJ0719+3307"   ,  "---"   ,  "GB20716+332"
9   , "1AGL J0722+7125"   ,  "S50716+714"   ,  110.59583   ,  71.42531   ,  143.89   ,  28.06   ,  0.37   ,  10.9   ,  "68 +/- 9"   ,  9   ,  30   ,  1614   ,  "Blazar-BLLac"   ,  "S50716+714"   ,  "BZBJ0721+7120"   ,  "3EGJ0721+7120"   ,  "-"
10   , "1AGL J0835-4509"   ,  "VelaPSR"   ,  128.80583   ,  -45.1525   ,  263.52   ,  -2.79   ,  0.09   ,  41.7   ,  "780 +/- 32"   ,  32   ,  99   ,  933   ,  "Pulsar"   ,  "VelaPSR"   ,  "---"   ,  "3EGJ0834-4511"   ,  "-"
11   , "1AGL J1022-5822"   ,  "---"   ,  155.53667   ,  -58.37139   ,  284.39   ,  -0.98   ,  0.36   ,  10.1   ,  "59 +/- 7"   ,  7   ,  100   ,  5616   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1013-5915"   ,  "PSRJ1016-5857"
12   , "1AGL J1043-5936"   ,  "---"   ,  160.99   ,  -59.6115   ,  287.44   ,  -0.63   ,  0.58   ,  5.3   ,  "27 +/- 6"   ,  6   ,  100   ,  5616   ,  "CWB"   ,  "---"   ,  "---"   ,  "---"   ,  "EtaCar"
13   , "1AGL J1043-5749"   ,  "---"   ,  160.9833   ,  -57.8308   ,  286.6   ,  0.94   ,  0.68   ,  4.5   ,  "22 +/- 5"   ,  5   ,  100   ,  5616   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1048-5840"   ,  "-"
14   , "1AGL J1058-5239"   ,  "---"   ,  164.6297   ,  -52.6632   ,  286.15   ,  6.49   ,  0.3   ,  8.7   ,  "29 +/- 4"   ,  4   ,  100   ,  5616   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1058-5234"   ,  "PSRJ1057-5226"
15   , "1AGL J1104+3754"   ,  "Mkn421"   ,  166.16083   ,  37.90936   ,  180.48   ,  65.16   ,  0.66   ,  4.7   ,  "42 +/- 13"   ,  13   ,  8   ,  589   ,  "Blazar-BLLac"   ,  "Mkn421"   ,  "BZBJ1104+3812"   ,  "3EGJ1104+3809"   ,  "-"
16   , "1AGL J1108-6103"   ,  "---"   ,  167.18208   ,  -61.06511   ,  290.83   ,  -0.63   ,  0.57   ,  6.1   ,  "30 +/- 6"   ,  6   ,  100   ,  5616   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1102-6103"   ,  "PSRJ1119-6127"
17   , "1AGL J1222+2851"   ,  "WComae (ON+231)"   ,  185.66583   ,  28.85064   ,  196.09   ,  83.42   ,  0.74   ,  4.7   ,  "38 +/- 11"   ,  11   ,  0   ,  580   ,  "Blazar-BLLac"   ,  "WComae (ON+231)"   ,  "BZBJ1221+2813"   ,  "3EGJ1222+2841"   ,  "-"
18   , "1AGL J1228+0142"   ,  "3C273"   ,  187.24792   ,  1.7115   ,  290.04   ,  64.02   ,  0.71   ,  4.7   ,  "24 +/- 6"   ,  6   ,  10   ,  2295   ,  "Blazar-FSRQ"   ,  "3C273"   ,  "BZQJ1229+0203"   ,  "3EGJ1229+0210"   ,  "-"
19   , "1AGL J1238+0406"   ,  "---"   ,  189.62917   ,  4.10397   ,  294.74   ,  66.77   ,  1.23   ,  4.7   ,  "25 +/- 6"   ,  6   ,  10   ,  2295   ,  "Blazar-FSRQ"   ,  "---"   ,  "BZQJ1239+0443"   ,  "3EGJ1236+0457"   ,  "-"
20   , "1AGL J1256-0549"   ,  "3C279"   ,  194.13833   ,  -5.8285   ,  305.27   ,  57.02   ,  0.32   ,  10.2   ,  "65 +/- 9"   ,  9   ,  10   ,  2295   ,  "Blazar-FSRQ"   ,  "3C279"   ,  "BZQJ1256-0547"   ,  "3EGJ1255-0549"   ,  "-"
21   , "1AGL J1412-6149"   ,  "---"   ,  213.0255   ,  -61.8257   ,  312.3   ,  -0.43   ,  0.44   ,  6.3   ,  "43 +/- 7"   ,  7   ,  86   ,  6301   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1410-6147"   ,  "PSRJ1410-6132"
22   , "1AGL J1419-6055"   ,  "---"   ,  214.9634   ,  -60.9198   ,  313.47   ,  0.13   ,  0.31   ,  7.5   ,  "52 +/- 7"   ,  7   ,  86   ,  6301   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1420-6038"   ,  "PSRJ1420-6048"
23   , "1AGL J1506-5859"   ,  "---"   ,  226.5066   ,  -58.9871   ,  319.52   ,  -0.52   ,  0.48   ,  6.9   ,  "41 +/- 7"   ,  7   ,  86   ,  6301   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1509-5850"
24   , "1AGL J1511-0908"   ,  "PKS1510-089"   ,  227.91083   ,  -9.13689   ,  350.97   ,  40.31   ,  0.33   ,  11.2   ,  "220 +/- 32"   ,  32   ,  55   ,  456   ,  "Blazar-FSRQ"   ,  "PKS1510-089"   ,  "BZQJ1512-0905"   ,  "3EGJ1512-0849"   ,  "-"
25   , "1AGL J1624-4946"   ,  "---"   ,  246.1123   ,  -49.7811   ,  334.09   ,  -0.25   ,  0.58   ,  5.7   ,  "67 +/- 13"   ,  13   ,  87   ,  2529   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1623-4949"
26   , "1AGL J1639-4702"   ,  "---"   ,  249.7731   ,  -47.04119   ,  337.75   ,  -0.15   ,  0.53   ,  6.4   ,  "76 +/- 13"   ,  13   ,  87   ,  2529   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1639-4702"   ,  "PSRJ1637-4642"
27   , "1AGL J1709-4428"   ,  "PSRJ1709-4429"   ,  257.3025   ,  -44.47903   ,  343.07   ,  -2.64   ,  0.2   ,  13.8   ,  "121 +/- 11"   ,  11   ,  87   ,  2529   ,  "Pulsar"   ,  "PSRJ1709-4429"   ,  "---"   ,  "3EGJ1710-4439"   ,  "-"
28   , "1AGL J1736-3235"   ,  "---"   ,  264.08333   ,  -32.58356   ,  355.85   ,  -0.24   ,  0.59   ,  5.1   ,  "69 +/- 15"   ,  15   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1734-3232"   ,  "-"
29   , "1AGL J1746-3017"   ,  "---"   ,  266.50625   ,  -30.28992   ,  358.89   ,  -0.78   ,  0.68   ,  4.4   ,  "66 +/- 16"   ,  16   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1744-3011"   ,  "-"
30   , "1AGL J1803-2258"   ,  "---"   ,  270.7621   ,  -22.9778   ,  6.66   ,  -0.18   ,  0.35   ,  5.8   ,  "69 +/- 13"   ,  13   ,  88   ,  1804   ,  "SNR"   ,  "---"   ,  "---"   ,  "3EGJ1800-2338"   ,  "HESSJ1801-233"
31   , "1AGL J1805-2143"   ,  "---"   ,  271.4145   ,  -21.7225   ,  8.51   ,  -0.27   ,  0.75   ,  4.3   ,  "54 +/- 13"   ,  13   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1803-2137
32   , "1AGL J1809-2332"   ,  "---"   ,  272.345   ,  -23.5489   ,  7.33   ,  -1.91   ,  0.35   ,  5.9   ,  "53 +/- 10"   ,  10   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1809-2328"   ,  "-"
33   , "1AGL J1815-1732"   ,  "---"   ,  273.8737   ,  -17.5408   ,  13.29   ,  -0.28   ,  0.65   ,  4.4   ,  "52 +/- 13"   ,  13   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1815-1738
34   , "1AGL J1823-1454"   ,  "---"   ,  275.8854   ,  -14.9114   ,  16.52   ,  -0.74   ,  0.52   ,  7.3   ,  "86 +/- 13"   ,  13   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1824-1514"   ,  "G16.410.55 LS5039"
35   , "1AGL J1826-1246"   ,  "---"   ,  276.7408   ,  -12.7829   ,  18.79   ,  -0.48   ,  0.54   ,  6.5   ,  "79 +/- 13"   ,  13   ,  88   ,  1804   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1826-1302"   ,  "HESSJ1825-137"
36   , "1AGL J1836+5923"   ,  "---"   ,  279.06208   ,  59.39178   ,  88.84   ,  24.99   ,  0.17   ,  15.6   ,  "45 +/- 4"   ,  4   ,  59   ,  6394   ,  "Unclassified"   ,  "---"   ,  "BZBJ1841+5906"   ,  "3EGJ1835+5918"   ,  "-"
37   , "1AGL J1846+6714"   ,  "---"   ,  281.58208   ,  67.23817   ,  97.59   ,  25.35   ,  0.43   ,  7   ,  "20 +/- 4"   ,  4   ,  59   ,  6394   ,  "Blazar-FSRQ"   ,  "---"   ,  "BZQJ1849+6705"   ,  "----"   ,  "4C66.20"
38   , "1AGL J1855+0122"   ,  "---"   ,  283.99046   ,  1.37347   ,  34.67   ,  -0.38   ,  0.25   ,  11.5   ,  "123 +/- 12"   ,  12   ,  106   ,  3538   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1856+0114"   ,  "PSRJ1856+0113"
39   , "1AGL J1901+0429"   ,  "---"   ,  285.3367   ,  4.494   ,  38.06   ,  -0.15   ,  0.58   ,  4.4   ,  "45 +/- 11"   ,  11   ,  106   ,  3538   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1901+0435"
40   , "1AGL J1908+0614"   ,  "---"   ,  287.035   ,  6.2429   ,  40.39   ,  -0.85   ,  0.45   ,  7.7   ,  "76 +/- 11"   ,  11   ,  106   ,  3538   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ1903+0550"   ,  "PSRJ1905+0616"
41   , "1AGL J1922+1403"   ,  "---"   ,  290.72375   ,  14.06256   ,  49   ,  -0.42   ,  0.64   ,  6.6   ,  "60 +/- 10"   ,  10   ,  106   ,  3538   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "---"   ,  "PSRJ1921+1419"
42   , "1AGL J2021+3652"   ,  "PSRJ2021+3651"   ,  305.35583   ,  36.87575   ,  75.28   ,  0.07   ,  0.19   ,  14.2   ,  "65 +/- 5"   ,  5   ,  91   ,  9622   ,  "Pulsar"   ,  "PSRJ2021+3651"   ,  "---"   ,  "3EGJ2021+3716"   ,  "-"
43   , "1AGL J2022+4032"   ,  "---"   ,  305.53583   ,  40.53706   ,  78.37   ,  2.04   ,  0.12   ,  23.4   ,  "120 +/- 7"   ,  7   ,  91   ,  9622   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ2020+4017"   ,  "within SNRGammaCygni"
44   , "1AGL J2026-0732"   ,  "---"   ,  306.62833   ,  -7.54592   ,  37.05   ,  -24.55   ,  0.53   ,  6.9   ,  "39 +/- 7"   ,  7   ,  106   ,  3538   ,  "Blazar-FSRQ"   ,  "---"   ,  "BZQJ2025-0735"   ,  "3EGJ2025-0744"   ,  "PKS2023-07"
45   , "1AGL J2032+4102"   ,  "---"   ,  308.11542   ,  41.03336   ,  79.91   ,  0.74   ,  0.41   ,  6.8   ,  "37 +/- 6"   ,  6   ,  91   ,  9622   ,  "Unclassified"   ,  "---"   ,  "---"   ,  "3EGJ033+4118"   ,  "CygX-3"
46   , "1AGL J2231+6109"   ,  "PSRJ2229+6114"   ,  337.78   ,  61.163   ,  106.82   ,  2.76   ,  0.29   ,  8.4   ,  "32 +/- 5"   ,  5   ,  92   ,  7240   ,  "Pulsar"   ,  "PSRJ2229+6114"   ,  "---"   ,  "3EGJ2227+6122"   ,  "-"
47   , "1AGL J2254+1602"   ,  "3C454.3"   ,  343.54333   ,  16.04239   ,  86.09   ,  -38.3   ,  0.17   ,  23   ,  "200 +/- 14"   ,  14   ,  155   ,  1347   ,  "Blazar-FSRQ"   ,  "3C454.3"   ,  "BZQJ2253+1608"   ,  "3EGJ2254+1601"   ,  "-"

