_id , boomerang_name , RA , Dec , Rflux(5GHz) , Vmag , Redshift , Source_classification , LII , BII
1 , "PKS 0252-549 " , 43.3783 , -54.6947 , 1193 , 17.7 , 0.537 , "FSRQ -WMAP" , "272.48" , "-54.62"
2 , "PKS 0257-510" , 44.6571 , -50.8711 , 452 , 23 , 0.834 , "FSRQ" , "266.21" , "-56.21"
3 , "PKS 0308-611 " , 47.48167 , -60.9743 , 1103 , 18.6 , 0 , " NED: QSO " , "278.11" , "-48.95"
4 , "PKS 0310-558" , 48.02417 , -55.69389 , 501 , 18 , 0 , " Blazar candidate" , "271.2" , "-51.89"
5 , "PKS 0317-570" , 49.73333 , -56.84778 , 257 , 17.5 , 0 , " Blazar Candidate" , "271.9" , "-50.46"
6 , "PMN J0321-3711 " , 50.3467 , -37.1925 , 5020 , 0 , 0 , "NED: Radio S. Extended -WMAP" , "240.18" , "-56.96"
7 , "PKS 0340-372 " , 55.5225 , -37.05305 , 872 , 18.1 , 0.284 , " QSO " , "239.34" , "-52.86"
8 , "PKS 0402-362" , 60.9712 , -36.08 , 1132 , 17.2 , 1.417 , " FSRQ" , "237.73" , "-48.49"
9 , "PKS 0405-385 " , 61.7446 , -38.4397 , 830 , 17.7 , 1.285 , "FSRQ -WMAP" , "241.28" , "-47.9"
10 , "PKS 0410-519 " , 62.90083 , -51.82222 , 361 , 17.5 , 0 , " NED: QSO " , "260.51" , "-45.38"
11 , "PMN J0419-3010" , 64.9512 , -30.1686 , 184 , 17.5 , 0 , " Blazar candidate" , "229.66" , "-44.58"
12 , "PMN J0422-3844" , 65.5612 , -38.7467 , 130 , 17 , 3.11 , " NED: QSO" , "241.76" , "-44.92"
13 , "WGA J0424.6-3849" , 66.1637 , -38.8172 , 309 , 18.5 , 2.34 , "FSRQ" , "241.87" , "-44.45"
14 , "PKS 0422-380 " , 66.1742 , -37.94 , 1706 , 18.1 , 0.782 , "FSRQ -WMAP" , "240.65" , "-44.41"
15 , "WGA J0428.8-3805" , 67.2104 , -38.0956 , 51 , 16.5 , 0.15 , "BL Lac" , "240.92" , "-43.6"
16 , "1RXS J043208.7-35065" , 68.0362 , -35.1142 , 182 , 18 , 0 , " Blazar candidate" , "236.92" , "-42.69"
17 , "PKS 0432-606" , 68.39208 , -60.50389 , 636 , 19 , 0 , " NED: QSO" , "270.84" , "-40.16"
18 , "PKS 0435-300" , 69.4062 , -29.9031 , 691 , 17.2 , 1.328 , " FSRQ" , "230.26" , "-40.74"
19 , "0438-43 " , 70.0738 , -43.5489 , 3933 , 18.8 , 2.852 , "FSRQ -WMAP" , "248.4" , "-41.57"
20 , "PKS 0439-331" , 70.3942 , -32.9978 , 197 , 0 , 0 , " NED:Uncl" , "234.47" , "-40.47"
21 , "1RXS J044510.0-38382" , 71.2917 , -38.64 , 244 , 17 , 0 , " NED: QSO-PKS 0443-387" , "241.95" , "-40.45"
22 , "PKS 0448-392 " , 72.4254 , -39.1811 , 819 , 16.5 , 1.288 , " FSRQ" , "242.76" , "-39.61"
23 , "PKS0450-469" , 72.9688 , -46.8839 , 541 , 18.3 , 0 , " NED: QSO" , "252.76" , "-39.5"
24 , "1Jy0454-463 " , 73.9637 , -46.2672 , 1653 , 17.4 , 0.858 , "FSRQ -WMAP" , "251.96" , "-38.82"
25 , "PKS 0506-61 " , 76.6817 , -61.1611 , 1211 , 16.9 , 1.093 , "FSRQ -WMAP" , "270.54" , "-36.08"
26 , "NGC 1808" , 76.9292 , -37.5083 , 238 , 12.6 , 0.003 , " Starburst g" , "241.2" , "-35.9"
27 , "PMN J0510-3533" , 77.7254 , -35.5525 , 123 , 18.1 , 0 , " Blazar candidate" , "238.97" , "-34.94"
28 , "PKS 0511-484 " , 78.21458 , -48.4025 , 1094 , 19.8 , 0.306 , " NED: Radio galaxy " , "254.72" , "-35.98"
29 , "Fairall 790" , 78.6479 , -49.0592 , 310 , 15.9 , 0.09 , " NED: Elliptical" , "255.54" , "-35.71"
30 , "1Jy 0514-459 " , 78.9508 , -45.95 , 990 , 17.5 , 0.194 , "FSRQ " , "251.73" , "-35.35"
31 , "PKS 0518-45 " , 79.9542 , -45.7794 , 14999 , 15.8 , 0.035 , "FSRQ - WMAP " , "251.59" , "-34.64"
32 , "PKS 0521-365 " , 80.7479 , -36.4672 , 8180 , 14.6 , 0.055 , "BL Lac -WMAP " , "240.61" , "-32.72"
33 , "PMN J0525-3343" , 81.2708 , -33.7167 , 210 , 18.7 , 4.4 , " QSO Radio l" , "237.55" , "-31.71"
34 , "PMN J0529-3555 " , 82.4046 , -35.9228 , 329 , 17.7 , 0 , " Blazar Candidate" , "240.31" , "-31.3"
35 , "1RXS J053132.1-35333" , 82.8837 , -35.5586 , 173 , 18.5 , 0.9 , " Blazar candidate" , "240" , "-30.84"
36 , "PKS 0532-378" , 83.5754 , -37.7853 , 528 , 19.5 , 1.668 , " NED: QSO" , "242.67" , "-30.78"
37 , "PKS 0534-340" , 84.1188 , -34.02 , 663 , 17.8 , 0.683 , " FSRQ" , "238.55" , "-29.49"
38 , "1Jy0537-441 " , 84.7129 , -44.085 , 4805 , 15 , 0.896 , "BL Lac -WMAP " , "250.08" , "-31.09"
39 , "PKS 0539-543 " , 85.1967 , -54.3058 , 373 , 18.2 , 0 , "Blazar Candidate -WMAP " , "262.04" , "-31.87"
40 , "1RXS J054329.1-39563" , 85.8713 , -39.9439 , 174.8 , 17.9 , 0 , " Blazar candidate" , "245.55" , "-29.49"
41 , "PMNJ0545-4757 " , 86.27708 , -47.95333 , 294 , 17 , 0 , " Blazar Candidate in Cluster" , "254.72" , "-30.59"
42 , "PKS 0549-575 " , 87.5338 , -57.5419 , 355 , 19.5 , 0 , "QSO from NED -WMAP " , "265.9" , "-30.74"
43 , "PKS 0548-322" , 87.6696 , -32.2719 , 213 , 15.5 , 0.069 , "BL Lac " , "237.56" , "-26.15"
44 , "PKS 0548-317" , 87.6979 , -31.7333 , 1034.5 , 9.9 , 0.033 , "BL Lac " , "237" , "-25.97"
45 , "PKS 0555-374 " , 89.2963 , -37.4703 , 152 , 14.2 , 0.0044 , " Elliptical in Cluster" , "243.54" , "-26.3"
46 , "1RXS J060414.4-31560" , 91.06 , -31.9339 , 2960.4 , 18.5 , 0.452 , "FSRQ " , "238.17" , "-23.31"
47 , "PMN J0606-3448 " , 91.5338 , -34.7953 , 135 , 17.9 , 2.28 , " NED: QSO" , "241.27" , "-23.82"
48 , "PKS 0607-605" , 91.97917 , -60.53222 , 558 , 18.2 , 0 , " NED: QSO" , "269.52" , "-28.67"
49 , "PKS 0606-306" , 92.1708 , -30.6939 , 100 , 16.9 , 0 , " Blazar Candidate" , "237.23" , "-22.01"
50 , "PKS 0610-316" , 93.1217 , -31.6539 , 643 , 18.5 , 0 , " NED: QSO" , "238.5" , "-21.56"
51 , "PKS 0613-312 " , 93.8204 , -31.2833 , 173.6 , 17 , 0 , " NED: QSO " , "238.34" , "-20.88"
52 , "PKS 0410-519 " , 95.50875 , -47.59778 , 315 , 13 , 0 , " Blazar Candidate " , "255.66" , "-24.43"
53 , "WGA J0631.9-5404 " , 97.9983 , -54.0753 , 155 , 18.2 , 0.193 , "FSRQ" , "262.98" , "-24.43"
54 , "PKS 0646-437 " , 102.0696 , -43.7836 , 126 , 18 , 1.029 , "FSRQ" , "253.18" , "-18.93"
