_id ,egcat3_name , RA, Dec, Sp.index , Err.Sp.index , other_name , other_name1 , other_name2, LII, BII
1 , "3EG J0010+7309 " , 2.56 , 73.17 , 1.85 , 0.1 , "2EG J0008+7307" , "GEV J0008+7304" , "SNR CTA 1? " , "119.91" , "10.54"
2 , "3EG J0038-0949 " , 9.74 , -9.82 , 2.7 , 0.44 , " -------- " , " -------- " , " -------- " , "112.69" , "-72.45"
3 , "3EG J0118+0248 " , 19.6 , 2.81 , 2.63 , 0.66 , "2EG J0119+0312" , "0119+041? " , " -------- " , "136.23" , "-59.37"
4 , "3EG J0130-1758 " , 22.7 , -17.97 , 2.5 , 0.29 , "2EG J0129-1748" , "0130-171? " , " -------- " , "169.7" , "-77.11"
5 , "3EG J0159-3603 " , 29.84 , -36.06 , 2.89 , 0.51 , "2EG J0159-3557" , " -------- " , " -------- " , "248.89" , "-73.05"
6 , "3EG J0204+1458 " , 31.11 , 14.97 , 2.23 , 0.28 , "2EG J0204+1512" , "0202+149 " , "4C+15.05 " , "147.95" , "-44.33"
7 , "3EG J0210-5055 " , 32.58 , -50.93 , 1.99 , 0.05 , "2EG J0210-5051" , "GEV J0210-5053" , "0208-512 " , "276.09" , "-61.9"
8 , "3EG J0215+1123 " , 34 , 11.38 , 2.03 , 0.62 , "2EG J0216+1107" , " -------- " , " -------- " , "153.75" , "-46.37"
9 , "3EG J0222+4253 " , 35.7 , 42.9 , 2.01 , 0.14 , "2EG J0220+4228" , "GEV J0223+4254" , "0219+428 " , "140.21" , "-16.89"
10 , "3EG J0229+6151 " , 37.32 , 61.86 , 2.29 , 0.18 , " -------- " , " -------- " , " -------- " , "134.19" , "1.14"
11 , "3EG J0237+1635 " , 39.36 , 16.59 , 1.85 , 0.12 , "2EG J0238+1657" , "GEV J0237+1648" , "0235+164 " , "156.46" , "-39.28"
12 , "3EG J0239+2815 " , 39.99 , 28.26 , 2.53 , 0.22 , "2EG J0239+2818" , "0234+285? " , "(4C+28.07) " , "150.21" , "-28.8"
13 , "3EG J0241+6103 " , 40.41 , 61.07 , 2.21 , 0.07 , "2EG J0241+6118" , "GEV J0241+6102" , "LSI +61 303? " , "135.86" , "0.99"
14 , "3EG J0245+1758 " , 41.36 , 17.97 , 2.61 , 0.44 , " -------- " , " -------- " , " -------- " , "157.62" , "-37.11"
15 , "3EG J0253-0345 " , 43.49 , -3.76 , 0 , 0 , " -------- " , " -------- " , " -------- " , "179.69" , "-52.57"
16 , "3EG J0323+5122 " , 50.9 , 51.37 , 2.38 , 0.41 , "2EG J0323+5126" , " -------- " , " -------- " , "145.63" , "-4.67"
17 , "3EG J0329+2149 " , 52.41 , 21.82 , 2.61 , 0.33 , " -------- " , " -------- " , " -------- " , "164.9" , "-27.88"
18 , "3EG J0340-0201 " , 55.04 , -2.02 , 1.84 , 0.25 , "0336-019 " , "CTA 026 " , " -------- " , "188.39" , "-42.47"
19 , "3EG J0348+3510 " , 57.03 , 35.18 , 2.16 , 0.27 , " -------- " , " -------- " , " -------- " , "159.06" , "-15.02"
20 , "3EG J0348-5708 " , 57.12 , -57.14 , 0 , 0 , " -------- " , " -------- " , " -------- " , "269.35" , "-46.8"
21 , "3EG J0404+0700 " , 61.15 , 7 , 2.65 , 0.26 , " -------- " , " -------- " , " -------- " , "183.99" , "-32.16"
22 , "3EG J0407+1710 " , 61.82 , 17.18 , 2.93 , 0.37 , "2EG J0406+1704" , " -------- " , " -------- " , "175.63" , "-25.07"
23 , "3EG J0412-1853 " , 63.14 , -18.88 , 3.25 , 0.68 , "0414-189 " , " -------- " , " -------- " , "213.89" , "-43.29"
24 , "3EG J0416+3650 " , 64.04 , 36.84 , 2.59 , 0.32 , "0415+379? " , "(3C 111) " , " -------- " , "162.21" , "-9.97"
25 , "3EG J0422-0102 " , 65.65 , -1.04 , 2.44 , 0.19 , "2EG J0423-0058" , "0420-014 " , " -------- " , "194.87" , "-33.12"
26 , "3EG J0423+1707 " , 65.92 , 17.13 , 2.43 , 0.21 , "2EGS J0426+163" , " -------- " , " -------- " , "178.47" , "-22.14"
27 , "3EG J0426+1333 " , 66.67 , 13.56 , 2.17 , 0.25 , "2EG J0422+1414" , " -------- " , " -------- " , "181.98" , "-23.83"
28 , "3EG J0429+0337 " , 67.42 , 3.63 , 3.02 , 0.27 , " -------- " , " -------- " , " -------- " , "191.43" , "-29.09"
29 , "3EG J0433+2908 " , 68.4 , 29.14 , 1.9 , 0.1 , "2EG J0432+2910" , "GEV J0433+2907" , "0430+2859 " , "170.48" , "-12.58"
30 , "3EG J0435+6137 " , 68.92 , 61.62 , 2.46 , 0.35 , " -------- " , " -------- " , " -------- " , "146.49" , "9.49"
31 , "3EG J0439+1555 " , 69.81 , 15.93 , 2.27 , 0.44 , "2EG J0437+1524" , " -------- " , " -------- " , "181.97" , "-19.98"
32 , "3EG J0439+1105 " , 69.81 , 11.09 , 2.44 , 0.29 , " -------- " , " -------- " , " -------- " , "186.14" , "-22.87"
33 , "3EG J0442-0033 " , 70.55 , -0.55 , 2.37 , 0.18 , "2EGS J0442-003" , "GEV J0441-0044" , "0440-003 " , "197.38" , "-28.69"
34 , "3EG J0450+1105 " , 72.61 , 11.09 , 2.27 , 0.16 , "0446+112 " , "2EG J0450+1122" , " -------- " , "187.85" , "-20.63"
35 , "3EG J0456-2338 " , 74.24 , -23.64 , 3.14 , 0.47 , "0454-234 " , " -------- " , " -------- " , "223.96" , "-34.99"
36 , "3EG J0459+3352 " , 74.78 , 33.87 , 2.54 , 0.24 , "2EG J0506+3424" , " -------- " , " -------- " , "170.3" , "-5.38"
37 , "3EG J0458-4635 " , 74.57 , -46.6 , 2.75 , 0.35 , "0454-463 " , " -------- " , " -------- " , "252.39" , "-38.4"
38 , "3EG J0459+0544 " , 74.93 , 5.75 , 2.36 , 0.4 , "0459+060 " , " -------- " , " -------- " , "193.99" , "-21.66"
39 , "3EG J0500+2529 " , 75.07 , 25.49 , 2.52 , 0.32 , " -------- " , " -------- " , " -------- " , "177.18" , "-10.28"
40 , "3EG J0500-0159 " , 75.1 , -1.99 , 2.45 , 0.27 , "2EG J0458-0122" , "0458-020 " , " -------- " , "201.34" , "-25.48"
41 , "3EG J0510+5545 " , 77.63 , 55.77 , 2.19 , 0.2 , "2EG J0511+5523" , " -------- " , " -------- " , "153.98" , "9.41"
42 , "3EG J0512-6150 " , 78.15 , -61.84 , 2.4 , 0.26 , "0506-612? " , " -------- " , " -------- " , "271.25" , "-35.29"
43 , "3EG J0516+2320 " , 79.11 , 23.35 , 2.67 , 0.33 , "91/6/11 SOL.FL" , " -------- " , " -------- " , "181.11" , "-8.54"
44 , "3EG J0520+2556 " , 80.14 , 25.75 , 2.83 , 0.24 , "2EG J0520+2626" , " -------- " , " -------- " , "179.65" , "-6.41"
45 , "3EG J0521+2147 " , 80.38 , 21.8 , 2.48 , 0.15 , "2EG J0521+2206" , " -------- " , " -------- " , "183.07" , "-8.43"
46 , "3EG J0530+1323 " , 82.74 , 13.38 , 2.46 , 0.04 , "2EG J0531+1324" , "GEV J0530+1340" , "0528+134 " , "191.5" , "-11.09"
47 , "3EG J0530-3626 " , 82.54 , -36.44 , 2.63 , 0.42 , "2EG J0524-3630" , "0521-365? " , " -------- " , "240.93" , "-31.3"
48 , "3EG J0533+4751 " , 83.32 , 47.85 , 2.55 , 0.23 , " -------- " , " -------- " , " -------- " , "162.61" , "7.95"
49 , "3EG J0531-2940 " , 82.91 , -29.68 , 2.47 , 0.6 , "0537-286? " , " -------- " , " -------- " , "233.44" , "-29.32"
50 , "3EG J0534+2200 " , 83.57 , 22.01 , 2.19 , 0.02 , "2EG J0534+2158" , "GEV J0534+2159" , "PSR B0531+21 " , "184.52" , "-5.84"
51 , "3EG J0533-6916 " , 83.42 , -69.27 , 2.2 , 0.2 , "2EG J0532-6914" , "LMC " , " -------- " , "279.72" , "-32.1"
52 , "3EG J0540-4402 " , 85.02 , -44.05 , 2.41 , 0.12 , "2EG J0536-4348" , "GEV J0540-4359" , "0537-441 " , "250.08" , "-30.87"
53 , "3EG J0542+2610 " , 85.69 , 26.17 , 2.67 , 0.22 , "GRO J0542+26 " , "S147 SNR? " , " -------- " , "182.02" , "-1.99"
54 , "3EG J0542-0655 " , 85.57 , -6.93 , 0 , 0 , "0539-057? " , " -------- " , " -------- " , "211.29" , "-18.52"
55 , "3EG J0546+3948 " , 86.55 , 39.81 , 2.85 , 0.21 , "2EG J0545+3943" , " -------- " , " -------- " , "170.74" , "5.73"
56 , "3EG J0556+0409 " , 89.06 , 4.15 , 2.45 , 0.16 , "2EGS J0555+040" , " -------- " , " -------- " , "202.81" , "-10.3"
57 , "3EG J0613+4201 " , 93.49 , 42.02 , 1.92 , 0.26 , "GEV J0615+4200" , " -------- " , " -------- " , "171.32" , "11.39"
58 , "3EG J0617+2238 " , 94.3 , 22.63 , 2.01 , 0.06 , "2EG J0618+2234" , "GEV J0617+2237" , "IC 443 SNR? " , "188.99" , "3.04"
59 , "3EG J0616-0720 " , 94.16 , -7.35 , 2.43 , 0.3 , "2EG J0617-0652" , " -------- " , " -------- " , "215.58" , "-11.07"
60 , "3EG J0616-3310 " , 94.15 , -33.17 , 2.11 , 0.24 , " -------- " , " -------- " , " -------- " , "240.34" , "-21.25"
61 , "3EG J0622-1139 " , 95.58 , -11.66 , 2.67 , 0.43 , "0616-116 " , " -------- " , " -------- " , "220.16" , "-11.69"
62 , "3EG J0628+1847 " , 97.18 , 18.79 , 2.3 , 0.1 , " -------- " , " -------- " , " -------- " , "193.66" , "3.64"
63 , "3EG J0631+0642 " , 97.92 , 6.72 , 2.06 , 0.15 , "GEV J0633+0645" , " -------- " , " -------- " , "204.7" , "-1.31"
64 , "3EG J0633+1751 " , 98.49 , 17.86 , 1.66 , 0.01 , "2EG J0633+1745" , "GEV J0634+1746" , "PSR J0633+1746" , "195.06" , "4.31"
65 , "3EG J0634+0521 " , 98.51 , 5.36 , 2.03 , 0.26 , "2EG J0635+0521" , " -------- " , " -------- " , "206.17" , "-1.41"
66 , "3EG J0702-6212 " , 105.58 , -62.21 , 2.4 , 0.33 , " -------- " , " -------- " , " -------- " , "272.64" , "-22.57"
67 , "3EG J0706-3837 " , 106.72 , -38.63 , 2.3 , 0.43 , " -------- " , " -------- " , " -------- " , "249.56" , "-13.77"
68 , "3EG J0721+7120 " , 110.43 , 71.35 , 2.19 , 0.11 , "2EG J0720+7126" , "GEV J0719+7133" , "0716+714 " , "143.97" , "28"
69 , "3EG J0724-4713 " , 111.09 , -47.23 , 2.6 , 0.36 , "2EG J0720-4746" , " -------- " , " -------- " , "259" , "-14.38"
70 , "3EG J0725-5140 " , 111.38 , -51.68 , 2.51 , 0.36 , "2EG J0724-5157" , " -------- " , " -------- " , "263.28" , "-16.03"
71 , "3EG J0737+1721 " , 114.47 , 17.35 , 2.6 , 0.28 , "2EG J0737+1725" , "0735+178 " , " -------- " , "202.16" , "17.87"
72 , "3EG J0743+5447 " , 115.83 , 54.8 , 2.03 , 0.2 , "2EG J0744+5438" , "0738+5451 " , " -------- " , "162.98" , "29.19"
73 , "3EG J0747-3412 " , 116.88 , -34.22 , 2.22 , 0.3 , " -------- " , " -------- " , " -------- " , "249.34" , "-4.49"
74 , "3EG J0808+5114 " , 122.15 , 51.24 , 2.76 , 0.34 , "2EG J0809+5117" , "0803+5126? " , " -------- " , "167.51" , "32.66"
75 , "3EG J0808+4844 " , 122.18 , 48.75 , 2.15 , 0.45 , "2EG J0807+4849" , "0804+499? " , "0809+483? " , "170.45" , "32.47"
76 , "3EG J0808-5344 " , 122.11 , -53.75 , 2.46 , 0.28 , "GRO J0807-53 " , " -------- " , " -------- " , "268.24" , "-11.21"
77 , "3EG J0812-0646 " , 123.14 , -6.78 , 2.34 , 0.29 , "2EG J0812-0648" , "0805-077? " , " -------- " , "228.64" , "14.62"
78 , "3EG J0821-5814 " , 125.32 , -58.24 , 3.22 , 0.79 , " -------- " , " -------- " , " -------- " , "273.1" , "-12.05"
79 , "3EG J0824-4610 " , 126.17 , -46.18 , 2.36 , 0.07 , "LIKELY ARTIFAC" , " -------- " , " -------- " , "263.27" , "-4.89"
80 , "3EG J0828+0508 " , 127.04 , 5.14 , 2.47 , 0.4 , "2EG J0828+0510" , "0829+046 " , " -------- " , "219.6" , "23.82"
81 , "3EG J0827-4247 " , 126.98 , -42.79 , 2.1 , 0.12 , "LIKELY ARTIFAC" , " -------- " , " -------- " , "260.83" , "-2.46"
82 , "3EG J0829+2413 " , 127.49 , 24.22 , 2.42 , 0.21 , "2EG J0831+2403" , "0827+243 " , " -------- " , "199.9" , "31.69"
83 , "3EG J0828-4954 " , 127.24 , -49.91 , 2.59 , 0.25 , "LIKELY ARTIFAC" , " -------- " , " -------- " , "266.75" , "-6.45"
84 , "3EG J0834-4511 " , 128.73 , -45.2 , 1.69 , 0.01 , "2EG J0835-4513" , "GEV J0835-4512" , "PSR B0833-45 " , "263.52" , "-2.87"
85 , "3EG J0841-4356 " , 130.49 , -43.95 , 2.15 , 0.09 , "LIKELY ARTIFAC" , " -------- " , " -------- " , "263.29" , "-1.11"
86 , "3EG J0845+7049 " , 131.46 , 70.83 , 2.62 , 0.16 , "2EG J0831+7044" , "0836+710 " , " -------- " , "143.48" , "34.79"
87 , "3EG J0848-4429 " , 132.25 , -44.5 , 2.05 , 0.16 , "POSS. ARTIFACT" , " -------- " , " -------- " , "264.5" , "-0.47"
88 , "3EG J0852-1216 " , 133.16 , -12.27 , 1.58 , 0.58 , "2EG J0852-1237" , "PMN J0850-1213" , " -------- " , "239.06" , "19.98"
89 , "3EG J0853+1941 " , 133.42 , 19.68 , 2.03 , 0.35 , "0851+202 " , "OJ +287 " , " -------- " , "207.19" , "35.42"
90 , "3EG J0859-4257 " , 134.92 , -42.95 , 2.32 , 0.2 , "LIKELY ARTIFAC" , " -------- " , " -------- " , "264.56" , "2"
91 , "3EG J0903-3531 " , 135.79 , -35.53 , 2.66 , 0.24 , "GRO J0902-35 " , " -------- " , " -------- " , "259.39" , "7.39"
92 , "3EG J0910+6556 " , 137.64 , 65.93 , 2.2 , 0.26 , "2EGS J0909+655" , " -------- " , " -------- " , "148.3" , "38.56"
93 , "3EG J0917+4427 " , 139.33 , 44.45 , 2.19 , 0.14 , "2EG J0917+4420" , "0917+449? " , " -------- " , "176.11" , "44.18"
94 , "3EG J0952+5501 " , 148.01 , 55.02 , 2.12 , 0.18 , "2EG J0957+5515" , "GEV J0956+5508" , "0954+556 " , "159.55" , "47.33"
95 , "3EG J0958+6533 " , 149.62 , 65.56 , 2.08 , 0.24 , "2EG J0958+6537" , "0954+658 " , " -------- " , "145.77" , "43.1"
96 , "3EG J1009+4855 " , 152.29 , 48.93 , 1.9 , 0.37 , "1011+496? " , " -------- " , " -------- " , "166.87" , "51.99"
97 , "3EG J1013-5915 " , 153.34 , -59.25 , 2.32 , 0.13 , "2EG J1021-5835" , "(PARTIAL) " , " -------- " , "283.92" , "-2.35"
98 , "3EG J1014-5705 " , 153.54 , -57.1 , 2.23 , 0.2 , "2EG J1021-5835" , "(PARTIAL) " , " -------- " , "282.79" , "-0.51"
99 , "3EG J1027-5817 " , 156.9 , -58.27 , 1.94 , 0.09 , "2EG J1021-5835" , "(PARTIAL) " , "GEV J1025-5809" , "284.94" , "-0.52"
100 , "3EG J1045-7630 " , 161.34 , -76.51 , 2.52 , 0.29 , "2EGS J1050-765" , " -------- " , " -------- " , "295.66" , "-15.46"
101 , "3EG J1048-5840 " , 162.14 , -58.68 , 1.97 , 0.09 , "2EG J1049-5847" , "GEV J1046-5840" , " -------- " , "287.53" , "0.46"
102 , "3EG J1052+5718 " , 163.21 , 57.31 , 2.51 , 0.46 , "2EG J1054+5736" , "1055+567? " , " -------- " , "149.47" , "53.27"
103 , "3EG J1058-5234 " , 164.68 , -52.57 , 1.94 , 0.1 , "2EG J1059-5237" , "GEV J1059-5218" , "PSR B1055-52 " , "286.13" , "6.58"
104 , "3EG J1102-6103 " , 165.6 , -61.05 , 2.47 , 0.21 , "2EG J1103-6106" , "MSH 11-62 SNR?" , " -------- " , "290.12" , "-0.93"
105 , "3EG J1104+3809 " , 166.1 , 38.15 , 1.57 , 0.15 , "2EG J1104+3812" , "GEV J1104+3809" , "1101+384 " , "179.97" , "65.04"
106 , "3EG J1133+0033 " , 173.35 , 0.55 , 2.73 , 0.63 , "2EGS J1133+003" , " -------- " , " -------- " , "264.52" , "57.48"
107 , "3EG J1134-1530 " , 173.66 , -15.5 , 2.7 , 0.31 , "2EG J1134-1515" , "1127-145? " , " -------- " , "277.03" , "43.47"
108 , "3EG J1200+2847 " , 180.12 , 28.8 , 1.98 , 0.22 , "2EG J1158+2906" , "GEV J1201+2906" , "1156+295 " , "201.52" , "78.63"
109 , "3EG J1212+2304 " , 183.15 , 23.08 , 2.76 , 0.6 , " -------- " , " -------- " , " -------- " , "235.54" , "80.32"
110 , "3EG J1219-1520 " , 184.82 , -15.34 , 2.52 , 0.54 , "2EGS J1220-151" , " -------- " , " -------- " , "291.56" , "46.81"
111 , "3EG J1222+2315 " , 185.61 , 23.26 , 0 , 0 , " -------- " , " -------- " , " -------- " , "241.88" , "82.38"
112 , "3EG J1222+2841 " , 185.75 , 28.7 , 1.73 , 0.18 , "2EGS J1222+282" , "GEV J1222+2837" , "1219+285 " , "197.25" , "83.52"
113 , "3EG J1224+2118 " , 186.11 , 21.31 , 2.28 , 0.13 , "2EG J1224+2155" , "1222+216 " , " -------- " , "254.89" , "81.53"
114 , "3EG J1227+4302 " , 186.76 , 43.04 , 0 , 0 , " -------- " , " -------- " , " -------- " , "138.64" , "73.33"
115 , "3EG J1229+0210 " , 187.25 , 2.17 , 2.58 , 0.09 , "2EG J1229+0206" , "1226+023 " , "3C 273 " , "289.83" , "64.46"
116 , "3EG J1230-0247 " , 187.65 , -2.79 , 2.85 , 0.3 , "2EG J1230-0254" , "1229-021 " , " -------- " , "292.58" , "59.66"
117 , "3EG J1234-1318 " , 188.51 , -13.31 , 2.09 , 0.24 , "2EG J1233-1407" , " -------- " , " -------- " , "296.42" , "49.34"
118 , "3EG J1235+0233 " , 188.81 , 2.56 , 2.39 , 0.35 , " -------- " , " -------- " , " -------- " , "293.27" , "65.12"
119 , "3EG J1236+0457 " , 188.91 , 4.97 , 2.48 , 0.46 , "2EG J1239+0441" , "1237+0459? " , " -------- " , "292.59" , "67.52"
120 , "3EG J1246-0651 " , 191.75 , -6.86 , 2.73 , 0.17 , "1243-072 " , " -------- " , " -------- " , "300.96" , "55.99"
121 , "3EG J1249-8330 " , 192.26 , -83.5 , 2.14 , 0.27 , "2EG J1248-8308" , " -------- " , " -------- " , "302.85" , "-20.64"
122 , "3EG J1255-0549 " , 193.98 , -5.82 , 1.96 , 0.04 , "2EG J1256-0546" , "GEV J1256-0546" , "1253-055 " , "304.98" , "57.03"
123 , "3EG J1300-4406 " , 195.06 , -44.1 , 3.07 , 0.4 , " -------- " , " -------- " , " -------- " , "304.6" , "18.74"
124 , "3EG J1308-6112 " , 197.18 , -61.22 , 3.14 , 0.59 , "GRO J1308-61 " , " -------- " , " -------- " , "305.01" , "1.58"
125 , "3EG J1310-0517 " , 197.6 , -5.3 , 2.34 , 0.22 , " -------- " , " -------- " , " -------- " , "311.68" , "57.24"
126 , "3EG J1314-3431 " , 198.51 , -34.52 , 2.28 , 0.19 , "2EG J1314-3430" , "1313-333? " , " -------- " , "308.2" , "28.11"
127 , "3EG J1316-5244 " , 199.24 , -52.75 , 2.54 , 0.18 , " -------- " , " -------- " , " -------- " , "306.84" , "9.92"
128 , "3EG J1308+8744 " , 197.08958 , 87.74 , 3.17 , 0.66 , "2EG J1332+8821" , " -------- " , " -------- " , "122.74" , "29.38"
129 , "3EG J1323+2200 " , 200.8 , 22.01 , 1.86 , 0.35 , "2EGS J1324+221" , "1324+224? " , " -------- " , "359.3" , "81.15"
130 , "3EG J1324-4314 " , 201.15 , -43.25 , 2.58 , 0.26 , "2EG J1324-4317" , "CEN A " , "(NGC 5128) " , "309.31" , "19.2"
131 , "3EG J1329-4602 " , 202.41 , -46.04 , 2.67 , 0.27 , " -------- " , " -------- " , " -------- " , "309.82" , "16.31"
132 , "3EG J1329+1708 " , 202.39 , 17.14 , 2.41 , 0.47 , "2EG J1330+1652" , "1331+170 " , " -------- " , "346.3" , "76.68"
133 , "3EG J1337+5029 " , 204.38 , 50.48 , 1.83 , 0.29 , " -------- " , " -------- " , " -------- " , "105.39" , "65.05"
134 , "3EG J1339-1419 " , 204.84 , -14.32 , 2.62 , 0.42 , "1334-127 " , " -------- " , " -------- " , "320.06" , "46.94"
