other_name, _id , uhecr_name , Energy , Elevation , RA, Dec , Galactic_Longitude, Galactic_Latitude , MJD , DATE
---,1 , AUGER , 67 , 56.2 , 0 , -15.4 , 74.79 , -73.26 , 54863 , 2009-02-01
---,2 , AUGER , 70.3 , 56.2 , 0 , -15.4 , 74.79 , -73.26 , 54863 , 2009-02-01
---,3 , AUGER , 52.2 , 44.6 , 0.4 , -68.1 , 309.88 , -48.36 , 56455 , 2013-06-12
---,4 , HiRes , 14.3 , N/A , 0.57792 , 56.662 , 116.18 , -5.57 , 52968 , 2003-11-25
---,5 , HiRes , 28.4 , N/A , 1.68792 , 29.777 , 111.48 , -32.1 , 52643 , 2003-01-04
---,6 , HiRes , 21.3 , N/A , 1.82667 , 48.021 , 115.34 , -14.2 , 53614 , 2005-09-01
---,7 , AUGER , 54.9 , 41.7 , 2.3 , -49.2 , 320.38 , -66.48 , 56706 , 2014-02-18
---,8 , AGASA , 42.4 , N/A , 3 , 78.6 , 120.91 , 15.88 , 0 , ----------
---,9 , HiRes , 28.7 , N/A , 3.05167 , 78.963 , 120.98 , 16.24 , 53460 , 2005-03-31
---,10 , HiRes , 10.8 , N/A , 4.17083 , 4.237 , 106.63 , -57.53 , 53680 , 2005-11-06
---,11 , HiRes , 16.2 , N/A , 4.49375 , 12.863 , 110.39 , -49.2 , 52939 , 2003-10-27
---,12 , AUGER , 70.2 , 31 , 4.6 , -37.9 , 333.67 , -77.19 , 55877 , 2011-11-12
---,13 , HiRes , 11.8 , N/A , 5.18667 , 45.331 , 117.29 , -17.21 , 52934 , 2003-10-22
---,14 , AUGER , 57 , 31.4 , 5.4 , -5.6 , 103.34 , -67.33 , 55157 , 2009-11-22
---,15 , HiRes , 20.9 , N/A , 7.18292 , 11.138 , 113.99 , -51.34 , 52171 , 2001-09-19
---,16 , AUGER , 58 , 27.8 , 8.4 , -61.5 , 306.68 , -55.5 , 55491 , 2010-10-22
---,17 , AGASA , 55.3 , N/A , 8.5 , 17.7 , 117.05 , -44.98 , 0 , ----------
---,18 , Yakutsk , 41 , 54.9 , 8.7 , 36.3 , 119.18 , -26.45 , 0 , ----------
---,19 , HiRes , 44.4 , N/A , 9.50875 , 32.484 , 119.65 , -30.31 , 53434 , 2005-03-05
---,20 , HiRes , 30.8 , N/A , 9.56083 , 21.013 , 118.8 , -41.76 , 52994 , 2003-12-21
---,21 , HiRes , 28.1 , N/A , 9.89792 , 1.359 , 116.74 , -61.37 , 53285 , 2004-10-07
---,22 , HiRes , 85.6 , N/A , 10.57 , 14.982 , 119.63 , -47.83 , 52823 , 2003-07-03
---,23 , HiRes , 15.8 , N/A , 10.78 , -3.008 , 117.86 , -65.8 , 53642 , 2005-09-29
---,24 , AUGER , 73.7 , 31.1 , 12.3 , -40.7 , 304.73 , -76.43 , 55473 , 2010-10-04
---,25 , AUGER , 54.6 , 71.5 , 12.7 , -56.6 , 303.11 , -60.53 , 53181 , 2004-06-25
---,26 , HiRes , 10.1 , N/A , 13.70375 , 26.686 , 123.86 , -36.18 , 52963 , 2003-11-20
---,27 , AUGER , 62.4 , 31.8 , 15.3 , -3.6 , 129.01 , -66.36 , 55938 , 2012-01-12
---,28 , HiRes , 30.2 , N/A , 15.50375 , 7.122 , 127.58 , -55.66 , 51819 , 2000-10-02
---,29 , AUGER , 64.7 , 42.8 , 15.6 , -17.1 , 137.67 , -79.66 , 54761 , 2008-10-22
---,30 , AUGER , 71 , 42.8 , 15.6 , -17 , 137.54 , -79.56 , 54761 , 2008-10-22
---,31 , Yakutsk , 52 , 47.5 , 16 , 32.2 , 126.01 , -30.6 , 0 , ----------
---,32 , HiRes , 10.1 , N/A , 16.36667 , 72.248 , 124.01 , 9.4 , 52590 , 2002-11-12
---,33 , HiRes , 13.4 , N/A , 16.99375 , 70.261 , 124.33 , 7.43 , 52963 , 2003-11-20
---,34 , AUGER , 81 , 35 , 17.4 , -37.9 , 284.55 , -78.58 , 53424 , 2005-02-23
---,35 , HiRes , 22.3 , N/A , 17.44 , 33.796 , 127.28 , -28.92 , 53050 , 2004-02-15
---,36 , AUGER , 71.2 , 34.9 , 17.5 , -37.8 , 283.99 , -78.64 , 53424 , 2005-02-23
---,37 , AUGER , 70.3 , 49.8 , 17.5 , 13.6 , 129.81 , -49.03 , 54206 , 2007-04-16
---,38 , Yakutsk , 40 , 45.2 , 17.8 , 68.6 , 124.74 , 5.79 , 0 , ----------
---,39 , HiRes , 26.4 , N/A , 18.215 , 34.821 , 127.9 , -27.85 , 53210 , 2004-07-24
---,40 , AUGER , 77.5 , 65.6 , 18.3 , 29.2 , 128.62 , -33.43 , 53717 , 2005-12-13
---,41 , AGASA , 50.7 , N/A , 18.5 , 20 , 130.13 , -42.56 , 0 , ----------
---,42 , AUGER , 61.1 , 31.4 , 18.7 , -42.5 , 287.22 , -73.92 , 56115 , 2012-07-07
---,43 , AGASA , 213 , N/A , 18.75 , 21.1 , 130.26 , -41.44 , 0 , ----------
---,44 , AUGER , 78.2 , 30.9 , 18.9 , -4.7 , 138.39 , -66.85 , 53740 , 2006-01-05
---,45 , AGASA , 64.9 , N/A , 19 , 50 , 126.97 , -12.68 , 0 , ----------
---,46 , TA , 66.3 , 23.7 , 19.29 , 32.26 , 129.22 , -30.3 , 0 , ----------
---,47 , AUGER , 60.4 , 76.9 , 19.8 , -25.5 , 199.8 , -83.57 , 54513 , 2008-02-17
---,48 , HiRes , 12.6 , N/A , 20.06167 , 23.153 , 131.49 , -39.24 , 52108 , 2001-07-18
---,49 , Yakutsk , 49 , 16.1 , 21.3 , 45.7 , 129.07 , -16.77 , 0 , ----------
---,50 , TA , 64.2 , 41.6 , 22.49 , 80.07 , 124.66 , 17.32 , 0 , ----------
---,51 , AUGER , 71.9 , 41.2 , 23.3 , -40.2 , 272.1 , -74.34 , 54994 , 2009-06-12
---,52 , Yakutsk , 40 , 58.5 , 23.8 , 57.5 , 128.8 , -4.88 , 0 , ----------
---,53 , HiRes , 10 , N/A , 23.82875 , 32.065 , 133.65 , -29.9 , 53410 , 2005-02-09
---,54 , HiRes , 17.2 , N/A , 24.27167 , 76.885 , 125.58 , 14.25 , 52671 , 2003-02-01
---,55 , AUGER , 62.2 , 28.4 , 25 , -61.4 , 292.88 , -54.78 , 54787 , 2008-11-17
---,56 , HiRes , 13.9 , N/A , 25.01167 , 18.689 , 138.67 , -42.7 , 52117 , 2001-07-27
---,57 , AUGER , 68 , 28.3 , 25.1 , -61.2 , 292.68 , -54.95 , 54787 , 2008-11-17
---,58 , TA , 65.2 , 15.8 , 25.28 , 43.99 , 132.29 , -17.98 , 0 , ----------
---,59 , HiRes , 39 , N/A , 25.32167 , 72.253 , 126.75 , 9.75 , 52785 , 2003-05-26
---,60 , AUGER , 63.3 , 38.8 , 26.1 , -32.2 , 239.9 , -77.44 , 55870 , 2011-11-05
---,61 , HiRes , 17.8 , N/A , 26.36667 , 84.608 , 124.28 , 21.88 , 51982 , 2001-03-14
---,62 , HiRes , 17.5 , N/A , 26.59292 , 54.645 , 130.89 , -7.38 , 52936 , 2003-10-24
---,63 , AUGER , 61 , 8.2 , 26.7 , -29.1 , 225.32 , -77.65 , 54909 , 2009-03-19
---,64 , AUGER , 59 , 8.2 , 26.7 , -29.1 , 225.32 , -77.65 , 54909 , 2009-03-19
---,65 , AUGER , 83.8 , 58.5 , 26.8 , -24.8 , 205.51 , -77.26 , 56088 , 2012-06-10
---,66 , HiRes , 50.2 , N/A , 27.07292 , -6.778 , 159.06 , -65.58 , 53293 , 2004-10-15
---,67 , HiRes , 11.2 , N/A , 27.32083 , -8.155 , 161.42 , -66.6 , 51523 , 1999-12-11
---,68 , AUGER , 54.7 , 33.7 , 28.8 , -16.4 , 180.19 , -71.75 , 53835 , 2006-04-10
---,69 , HiRes , 14.7 , N/A , 28.885 , 32.836 , 138.18 , -28.13 , 53050 , 2004-02-15
---,70 , AUGER , 66.9 , 47.9 , 28.9 , -2.7 , 157.81 , -61.15 , 54794 , 2008-11-24
---,71 , AUGER , 60.2 , 67.5 , 29 , -14 , 175.06 , -70.03 , 53420 , 2005-02-19
---,72 , AGASA , 44.2 , N/A , 29 , 29 , 139.55 , -31.78 , 0 , ----------
---,73 , AUGER , 57 , 40.2 , 29.4 , -8.6 , 166.19 , -65.75 , 55050 , 2009-08-07
---,74 , AUGER , 53.2 , 40.1 , 29.4 , -8.6 , 166.19 , -65.75 , 55050 , 2009-08-07
---,75 , HiRes , 11.7 , N/A , 29.45 , 71.818 , 128.11 , 9.61 , 53107 , 2004-04-12
---,76 , AUGER , 69.7 , 65.6 , 30.3 , 3.8 , 154.16 , -54.79 , 55672 , 2011-04-21
---,77 , TA , 78.7 , 15.7 , 31.32 , 49.49 , 135.05 , -11.64 , 0 , ----------
---,78 , HiRes , 11.9 , N/A , 32.26167 , 2.286 , 158.43 , -55.15 , 53672 , 2005-10-29
---,79 , AUGER , 54 , 58.3 , 32.7 , -85 , 300.93 , -31.82 , 53243 , 2004-08-26
---,80 , AUGER , 55.7 , 53.7 , 33 , 11 , 152.73 , -47.16 , 54649 , 2008-07-02
---,81 , AUGER , 66.1 , 23.8 , 33.2 , -59 , 284.67 , -55.16 , 55978 , 2012-02-21
---,82 , AUGER , 54.3 , 49.8 , 33.3 , -39 , 252.96 , -69.24 , 56436 , 2013-05-24
---,83 , AUGER , 58.2 , 33.8 , 33.4 , -31.7 , 232.19 , -71.57 , 55599 , 2011-02-07
---,84 , HiRes , 19.9 , N/A , 33.535 , 53.17 , 135.26 , -7.71 , 52905 , 2003-09-23
---,85 , HiRes , 12.6 , N/A , 34.19792 , 61.69 , 132.86 , 0.47 , 52643 , 2003-01-04
---,86 , AGASA , 42 , N/A , 34.5 , 13.8 , 152.78 , -44 , 0 , ----------
---,87 , HiRes , 18.3 , N/A , 34.81583 , 62.024 , 133.03 , 0.88 , 53377 , 2005-01-07
---,88 , HiRes , 11.8 , N/A , 35.98292 , -2.123 , 168.39 , -56.6 , 53342 , 2004-12-03
---,89 , HiRes , 12.7 , N/A , 36.03292 , 44.758 , 139.75 , -15.07 , 53051 , 2004-02-16
---,90 , TA , 98.5 , 29 , 36.26 , 17.87 , 152.31 , -39.61 , 0 , ----------
---,91 , AUGER , 58.7 , 65.8 , 37 , -75.8 , 295.41 , -39.89 , 56080 , 2012-06-02
---,92 , TA , 106.8 , 26.9 , 37.59 , 13.89 , 156.34 , -42.48 , 0 , ----------
---,93 , AUGER , 62.6 , 25.9 , 37.8 , -39.5 , 250.13 , -65.89 , 56035 , 2012-04-18
---,94 , HiRes , 13.6 , N/A , 38.36 , 25.678 , 150.08 , -31.76 , 52500 , 2002-08-14
---,95 , HiRes , 15.4 , N/A , 38.665 , 44.813 , 141.51 , -14.31 , 52932 , 2003-10-20
---,96 , HiRes , 12.2 , N/A , 39.19167 , 4.09 , 166.13 , -49.74 , 53290 , 2004-10-12
---,97 , AUGER , 55.8 , 56.5 , 39.2 , 19.4 , 154.5 , -36.93 , 54395 , 2007-10-22
---,98 , AUGER , 70.5 , 78.2 , 39.4 , -34.5 , 237.43 , -66.13 , 54993 , 2009-06-11
---,99 , AUGER , 56.8 , 10.6 , 39.5 , -29.9 , 226 , -66.49 , 55693 , 2011-05-12
---,100 , HiRes , 13.5 , N/A , 39.61292 , 55.035 , 137.93 , -4.69 , 53434 , 2005-03-05
---,101 , TA , 89.3 , 19.2 , 39.98 , 34.17 , 147.22 , -23.54 , 0 , ----------
---,102 , HiRes , 20.8 , N/A , 40.59583 , -6.924 , 180.51 , -56.82 , 52643 , 2003-01-04
---,103 , HiRes , 29.9 , N/A , 41 , -5.891 , 179.59 , -55.84 , 52989 , 2003-12-16
---,104 , HiRes , 11 , N/A , 42.79667 , -0.91 , 175.56 , -51.12 , 51513 , 1999-12-01
---,105 , HiRes , 13.9 , N/A , 43.14667 , 33.249 , 150.22 , -23.13 , 53377 , 2005-01-07
---,106 , Yakutsk , 42 , 10.3 , 43.2 , 57.4 , 138.73 , -1.7 , 0 , ----------
---,107 , HiRes , 14 , N/A , 43.69875 , 53.51 , 140.75 , -5.04 , 52108 , 2001-07-18
---,108 , AUGER , 56 , 40.9 , 43.8 , -25.5 , 216.64 , -62.29 , 54991 , 2009-06-09
---,109 , AUGER , 52.8 , 40.9 , 43.9 , -25.4 , 216.46 , -62.19 , 54991 , 2009-06-09
---,110 , HiRes , 14.6 , N/A , 45.04292 , 54.083 , 141.18 , -4.17 , 52963 , 2003-11-20
---,111 , AUGER , 63.6 , 66.7 , 45.2 , -65.8 , 284.39 , -46.4 , 56721 , 2014-03-05
---,112 , AUGER , 108.2 , 57.5 , 45.6 , -1.7 , 179.49 , -49.63 , 53556 , 2005-07-05
---,113 , HiRes , 17.5 , N/A , 46.29667 , 83.664 , 126.68 , 21.79 , 53315 , 2004-11-06
---,114 , Yakutsk , 54 , 32.8 , 46.9 , 29.2 , 155.53 , -24.92 , 0 , ----------
---,115 , HiRes , 11.5 , N/A , 47.03375 , 81.415 , 128.04 , 19.93 , 51549 , 2000-01-06
---,116 , TA , 68.5 , 38.7 , 47.08 , 31.32 , 154.4 , -23.06 , 0 , ----------
---,117 , HiRes , 31.9 , N/A , 47.115 , 10.552 , 168.97 , -39.77 , 52940 , 2003-10-28
---,118 , HiRes , 62.8 , N/A , 47.22583 , 23.929 , 159.12 , -29.12 , 52645 , 2003-01-06
---,119 , AUGER , 68.4 , 24 , 47.5 , -12.8 , 196 , -54.6 , 54245 , 2007-05-25
---,120 , AUGER , 60.8 , 47.2 , 47.6 , 11.5 , 168.64 , -38.74 , 55113 , 2009-10-09
---,121 , AUGER , 77 , 23.9 , 47.6 , -12.8 , 196.08 , -54.51 , 54245 , 2007-05-25
---,122 , AUGER , 61 , 47.2 , 47.7 , 11.5 , 168.74 , -38.68 , 55113 , 2009-10-09
---,123 , TA , 60.5 , 46.6 , 47.71 , -4.66 , 185.1 , -49.91 , 0 , ----------
---,124 , Yakutsk , 53 , 37.3 , 47.9 , 24.9 , 159.06 , -27.97 , 0 , ----------
---,125 , HiRes , 43.8 , N/A , 48.29667 , 6.136 , 174.07 , -42.24 , 52173 , 2001-09-21
---,126 , HiRes , 16.7 , N/A , 48.71292 , -0.834 , 181.59 , -46.72 , 52931 , 2003-10-19
---,127 , HiRes , 12.1 , N/A , 49.39083 , 0.772 , 180.48 , -45.15 , 52991 , 2003-12-18
---,128 , HiRes , 12.3 , N/A , 50.04667 , 85.526 , 125.87 , 23.53 , 52964 , 2003-11-21
---,129 , AUGER , 58.7 , 22.4 , 50.1 , -25.9 , 219.44 , -56.78 , 55093 , 2009-09-19
---,130 , AUGER , 64 , 22.4 , 50.1 , -25.9 , 219.44 , -56.78 , 55093 , 2009-09-19
---,131 , Yakutsk , 41 , 55.9 , 50.2 , 19 , 165.12 , -31.37 , 0 , ----------
---,132 , HiRes , 11.2 , N/A , 52.17792 , 37.147 , 154.6 , -15.87 , 53678 , 2005-11-04
---,133 , AUGER , 60.7 , 76.5 , 52.7 , -43.4 , 250.42 , -54.08 , 53895 , 2006-06-09
---,134 , AUGER , 67.7 , 53.9 , 53 , -4.5 , 189.56 , -45.57 , 54031 , 2006-10-23
---,135 , AUGER , 66 , 54 , 53 , -4.2 , 189.21 , -45.4 , 54031 , 2006-10-23
---,136 , HiRes , 12.2 , N/A , 53.495 , 60.693 , 141.56 , 3.84 , 51790 , 2000-09-03
---,137 , AUGER , 72.2 , 30.8 , 53.6 , -7.8 , 194.02 , -46.89 , 53770 , 2006-02-04
---,138 , AUGER , 82 , 30.8 , 53.7 , -7.8 , 194.09 , -46.8 , 53770 , 2006-02-04
---,139 , AGASA , 55.3 , N/A , 54.25 , 69.5 , 136.58 , 11.14 , 0 , ----------
---,140 , HiRes , 27.5 , N/A , 54.63 , 13.216 , 173.43 , -32.82 , 52585 , 2002-11-07
---,141 , HiRes , 39.8 , N/A , 55.30167 , -18.35 , 209.42 , -50.08 , 53354 , 2004-12-15
---,142 , Yakutsk , 82 , 44.9 , 55.7 , 19.6 , 169.16 , -27.51 , 0 , ----------
---,143 , HiRes , 11.7 , N/A , 55.80375 , 35.269 , 158.2 , -15.59 , 52847 , 2003-07-27
---,144 , AGASA , 61.1 , N/A , 56.25 , 44.9 , 152.35 , -7.83 , 0 , ----------
---,145 , AUGER , 53.3 , 38.5 , 56.3 , -3.2 , 190.67 , -42.12 , 56227 , 2012-10-27
---,146 , TA , 61.7 , 34.1 , 56.47 , 64.36 , 140.45 , 7.6 , 0 , ----------
---,147 , AGASA , 71.6 , N/A , 56.5 , 49.5 , 149.63 , -4.11 , 0 , ----------
---,148 , AUGER , 70.7 , 47.6 , 56.6 , -67.8 , 282.45 , -41.7 , 56319 , 2013-01-27
---,149 , AGASA , 48 , N/A , 58 , 27.1 , 165.3 , -20.56 , 0 , ----------
---,150 , Yakutsk , 49 , 12.3 , 58.1 , 60.9 , 143.22 , 5.37 , 0 , ----------
---,151 , HiRes , 29.7 , N/A , 58.68292 , 31.534 , 162.63 , -16.87 , 51899 , 2000-12-21
---,152 , HiRes , 22.9 , N/A , 59.25167 , -3.918 , 193.63 , -40.06 , 53372 , 2005-01-02
---,153 , HiRes , 10.8 , N/A , 59.525 , 41.871 , 156.15 , -8.66 , 53357 , 2004-12-18
---,154 , AUGER , 52.5 , 76.7 , 59.6 , 38.3 , 158.58 , -11.31 , 54414 , 2007-11-10
---,155 , HiRes , 20.6 , N/A , 59.97083 , 33.609 , 162.02 , -14.6 , 52877 , 2003-08-26
---,156 , AGASA , 42.9 , N/A , 60.5 , 51.7 , 150.19 , -0.79 , 0 , ----------
---,157 , TA , 64.5 , 20.7 , 61.6 , 42.91 , 156.61 , -6.86 , 0 , ----------
---,158 , HiRes , 10.7 , N/A , 62.22667 , 15.826 , 177.03 , -25.68 , 53355 , 2004-12-16
---,159 , HiRes , 71.1 , N/A , 63.96167 , 23.243 , 172.26 , -19.49 , 53262 , 2004-09-14
---,160 , HiRes , 14.6 , N/A , 63.995 , 20.402 , 174.53 , -21.38 , 53679 , 2005-11-05
---,161 , AUGER , 56 , 50.7 , 64.1 , -52.7 , 261.47 , -44.46 , 54514 , 2008-02-18
---,162 , AUGER , 70.5 , 58.4 , 64.2 , -46.5 , 252.83 , -45.52 , 55507 , 2010-11-07
---,163 , AUGER , 68.8 , 57.3 , 64.7 , -70.1 , 283.07 , -38.03 , 56482 , 2013-07-09
---,164 , HiRes , 16.9 , N/A , 65.64375 , 11.107 , 183.43 , -26.13 , 51988 , 2001-03-20
---,165 , TA , 68.2 , 54.7 , 66.42 , 39 , 161.98 , -7.12 , 0 , ----------
---,166 , AUGER , 52 , 68.8 , 67.7 , 4 , 191.26 , -28.65 , 54715 , 2008-09-06
---,167 , HiRes , 52.3 , N/A , 67.85875 , -15.905 , 212.37 , -38.02 , 53291 , 2004-10-13
---,168 , TA , 82.6 , 32 , 68.86 , 19.2 , 178.66 , -18.67 , 0 , ----------
---,169 , Yakutsk , 75 , 34.2 , 69.1 , 74.8 , 136.18 , 18.08 , 0 , ----------
---,170 , AGASA , 61.9 , N/A , 69.25 , 5.1 , 191.2 , -26.76 , 0 , ----------
---,171 , AGASA , 54.7 , N/A , 69.5 , 30.1 , 170.38 , -11.23 , 0 , ----------
---,172 , AGASA , 48.9 , N/A , 70.25 , 29.9 , 170.96 , -10.87 , 0 , ----------
---,173 , Yakutsk , 160 , 47.7 , 70.9 , 70.6 , 139.96 , 15.88 , 0 , ----------
---,174 , HiRes , 12.8 , N/A , 70.90292 , 16.105 , 182.5 , -19.03 , 52935 , 2003-10-23
---,175 , HiRes , 16.1 , N/A , 71.88792 , 78.224 , 133.71 , 20.66 , 53050 , 2004-02-15
---,176 , HiRes , 14.4 , N/A , 72.15292 , 3.078 , 194.85 , -25.43 , 51547 , 2000-01-04
---,177 , AUGER , 60 , 57.9 , 72.8 , -73.5 , 285.61 , -34.33 , 56665 , 2014-01-08
---,178 , HiRes , 17.6 , N/A , 73.01792 , -6.746 , 204.94 , -29.57 , 53676 , 2005-11-02
---,179 , HiRes , 11.7 , N/A , 73.07792 , 72.319 , 138.97 , 17.47 , 52995 , 2003-12-22
---,180 , AUGER , 71.9 , 60.7 , 73.7 , -20.5 , 220.14 , -34.47 , 56344 , 2013-02-21
---,181 , AGASA , 40.8 , N/A , 74 , 18 , 182.75 , -15.53 , 0 , ----------
---,182 , HiRes , 13.2 , N/A , 74.19667 , 30.132 , 172.96 , -8.07 , 51552 , 2000-01-09
---,183 , HiRes , 22.3 , N/A , 74.72375 , 36.063 , 168.54 , -4.07 , 52694 , 2003-02-24
---,184 , Yakutsk , 150 , 58.7 , 75.2 , 45.6 , 161.25 , 2.1 , 0 , ----------
---,185 , HiRes , 13.1 , N/A , 75.30083 , 41.495 , 164.54 , -0.36 , 51938 , 2001-01-29
---,186 , HiRes , 17.6 , N/A , 75.30875 , 16.36 , 184.89 , -15.46 , 53350 , 2004-12-11
---,187 , HiRes , 11.4 , N/A , 75.375 , 80.519 , 132.03 , 22.46 , 53406 , 2005-02-05
---,188 , HiRes , 14.9 , N/A , 75.43792 , 37.226 , 167.97 , -2.9 , 51876 , 2000-11-28
---,189 , HiRes , 12.3 , N/A , 75.51 , 36.39 , 168.67 , -3.36 , 51576 , 2000-02-02
---,190 , HiRes , 53.6 , N/A , 75.83292 , 42.818 , 163.73 , 0.76 , 51901 , 2000-12-23
---,191 , HiRes , 11.6 , N/A , 76.36792 , 22.245 , 180.55 , -11.24 , 53615 , 2005-09-02
---,192 , HiRes , 19.4 , N/A , 76.37375 , 62.051 , 148.38 , 12.52 , 53377 , 2005-01-07
---,193 , HiRes , 28.2 , N/A , 76.41667 , 8.903 , 192 , -18.73 , 51935 , 2001-01-26
---,194 , AUGER , 75.6 , 31.8 , 77.2 , -41 , 245.51 , -36.16 , 55855 , 2011-10-21
---,195 , AUGER , 52.9 , 20.7 , 78.3 , -16 , 217.06 , -28.77 , 54878 , 2009-02-16
---,196 , AUGER , 57 , 20.8 , 78.3 , -16 , 217.06 , -28.77 , 54878 , 2009-02-16
---,197 , Yakutsk , 55 , 9.2 , 78.5 , 62.6 , 148.48 , 13.64 , 0 , ----------
---,198 , TA , 61.2 , 23.5 , 78.79 , 61.43 , 149.56 , 13.11 , 0 , ----------
---,199 , HiRes , 11.9 , N/A , 78.89875 , 49.608 , 159.51 , 6.49 , 51880 , 2000-12-02
---,200 , AUGER , 54.3 , 29 , 80.2 , -64.1 , 273.82 , -34.06 , 55516 , 2010-11-16
---,201 , HiRes , 11.8 , N/A , 80.48083 , 33.768 , 173.19 , -1.62 , 52701 , 2003-03-03
---,202 , HiRes , 12.4 , N/A , 80.50167 , 69.699 , 142.65 , 18.07 , 52677 , 2003-02-07
---,203 , HiRes , 50.3 , N/A , 80.92667 , 48.96 , 160.8 , 7.22 , 52940 , 2003-10-28
---,204 , AUGER , 93 , 30.9 , 81.5 , -7.4 , 209.82 , -22.35 , 54443 , 2007-12-09
---,205 , AUGER , 82.4 , 30.9 , 81.6 , -7.4 , 209.87 , -22.26 , 54443 , 2007-12-09
---,206 , AUGER , 53 , 49.9 , 82.1 , 14.6 , 190.11 , -10.98 , 53998 , 2006-09-20
---,207 , TA , 66.5 , 4.4 , 82.19 , 43.12 , 166.18 , 4.72 , 0 , ----------
---,208 , TA , 74.7 , 34.1 , 82.5 , 57.7 , 153.83 , 12.7 , 0 , ----------
---,209 , HiRes , 10.7 , N/A , 82.75792 , -7.407 , 210.43 , -21.23 , 53357 , 2004-12-18
---,210 , AUGER , 63 , 31.7 , 82.8 , -15.8 , 218.73 , -24.71 , 54517 , 2008-02-21
---,211 , AUGER , 56.2 , 31.7 , 82.8 , -15.8 , 218.73 , -24.71 , 54517 , 2008-02-21
---,212 , HiRes , 12.9 , N/A , 84.26792 , 55.054 , 156.67 , 12.19 , 53291 , 2004-10-13
---,213 , AUGER , 72.1 , 49.8 , 84.9 , 14.4 , 191.72 , -8.77 , 55681 , 2011-04-30
---,214 , Yakutsk , 48 , 32.6 , 85.1 , 63.3 , 149.44 , 16.58 , 0 , ----------
---,215 , HiRes , 21.9 , N/A , 85.71667 , -10.886 , 215.13 , -20.11 , 51909 , 2000-12-31
