other_name, _id , uhecr_name , Energy , Elevation , RA, Dec , Galactic_Longitude, Galactic_Latitude , MJD , DATE
---,644 , AUGER , 69.4 , 43.8 , 268.5 , -15.7 , 12.37 , 5.11 , 55580 , 2011-01-19
---,645 , AUGER , 83 , 44.7 , 268.6 , -60.9 , 332.45 , -16.97 , 53343 , 2004-12-04
---,646 , HiRes , 11.7 , N/A , 268.60792 , -4.635 , 22.15 , 10.45 , 53263 , 2004-09-15
---,647 , HiRes , 36 , N/A , 268.79875 , 41.928 , 68.29 , 27.74 , 52911 , 2003-09-29
---,648 , AGASA , 47.8 , N/A , 269 , 74.1 , 105.08 , 29.79 , 0 , ----------
---,649 , Yakutsk , 64 , 22.8 , 270.3 , 67.6 , 97.58 , 29.69 , 0 , ----------
---,650 , Yakutsk , 55 , 5.7 , 270.5 , 64.5 , 94.01 , 29.57 , 0 , ----------
---,651 , HiRes , 17.6 , N/A , 270.88375 , 26.766 , 52.84 , 21.73 , 51667 , 2000-05-03
---,652 , AUGER , 80.2 , 77.1 , 271.1 , 19 , 45.23 , 18.66 , 54475 , 2008-01-10
---,653 , HiRes , 13.1 , N/A , 271.77667 , 5.117 , 32.46 , 12.18 , 53173 , 2004-06-17
---,654 , HiRes , 14.5 , N/A , 272.89583 , 19.642 , 46.55 , 17.35 , 53109 , 2004-04-14
---,655 , HiRes , 19.8 , N/A , 273.975 , 77.56 , 108.93 , 28.35 , 53293 , 2004-10-15
---,656 , Yakutsk , 53 , 20.6 , 274.3 , 54.5 , 82.96 , 26.62 , 0 , ----------
---,657 , AUGER , 64.8 , 66.6 , 275.2 , -57.2 , 337.43 , -18.61 , 53799 , 2006-03-05
---,658 , AUGER , 65.8 , 30.8 , 275.2 , -14.4 , 16.65 , 0.08 , 54802 , 2008-12-02
---,659 , Yakutsk , 45 , 59 , 275.5 , 3.1 , 32.34 , 7.96 , 0 , ----------
---,660 , AUGER , 71 , 31 , 275.5 , -14.4 , 16.79 , -0.18 , 54802 , 2008-12-02
---,661 , AUGER , 65.8 , 9.7 , 276.1 , -33.4 , 0.11 , -9.42 , 55003 , 2009-06-21
---,662 , HiRes , 16.9 , N/A , 276.945 , 31.489 , 59.53 , 18.44 , 52728 , 2003-03-30
---,663 , AUGER , 53.8 , 70.9 , 277.2 , 6.7 , 36.35 , 8.06 , 55390 , 2010-07-13
---,664 , AGASA , 97.9 , N/A , 277.25 , 35.3 , 63.4 , 19.54 , 0 , ----------
---,665 , AUGER , 61.9 , 65.4 , 278.4 , -1.3 , 29.73 , 3.37 , 53603 , 2005-08-21
---,666 , HiRes , 10.4 , N/A , 278.665 , 24.617 , 53.5 , 14.42 , 53614 , 2005-09-01
---,667 , AUGER , 66.9 , 43.3 , 278.8 , 7.9 , 38.15 , 7.18 , 55268 , 2010-03-13
---,668 , HiRes , 13.9 , N/A , 278.96667 , 59.473 , 88.91 , 25.05 , 53239 , 2004-08-22
---,669 , HiRes , 14.8 , N/A , 279.86875 , 66.3 , 96.43 , 25.86 , 53587 , 2005-08-05
---,670 , TA , 76.9 , 14.5 , 280.28 , 41.34 , 70.28 , 19.34 , 0 , ----------
---,671 , HiRes , 53.8 , N/A , 280.51 , 11.38 , 42.05 , 7.22 , 51846 , 2000-10-29
---,672 , HiRes , 21 , N/A , 281.20792 , -23.368 , 11.23 , -9.06 , 52052 , 2001-05-23
---,673 , AGASA , 134 , N/A , 281.25 , 48.3 , 77.54 , 20.92 , 0 , ----------
---,674 , Yakutsk , 65 , 49.1 , 283.5 , 29.4 , 59.79 , 12.42 , 0 , ----------
---,675 , AUGER , 80.9 , 24.5 , 283.7 , -28.6 , 7.35 , -13.29 , 55813 , 2011-09-09
---,676 , Yakutsk , 73 , 22.2 , 283.9 , 49.8 , 79.64 , 19.74 , 0 , ----------
---,677 , AUGER , 54.4 , 62 , 284.5 , -37.6 , 359 , -17.37 , 56611 , 2013-11-15
---,678 , AUGER , 65.2 , 62.3 , 284.7 , -28.2 , 8.09 , -13.93 , 55420 , 2010-08-12
---,679 , AGASA , 43.5 , N/A , 284.75 , 47.8 , 77.84 , 18.54 , 0 , ----------
---,680 , HiRes , 68.5 , N/A , 284.81875 , 42.894 , 73.06 , 16.74 , 53668 , 2005-10-25
---,681 , TA , 120.3 , 25.6 , 285.46 , 33.62 , 64.44 , 12.64 , 0 , ----------
---,682 , TA , 101.4 , 41.2 , 285.74 , -1.69 , 32.74 , -3.34 , 0 , ----------
---,683 , AUGER , 57 , 59.3 , 286.3 , -37.6 , 359.53 , -18.7 , 54838 , 2009-01-07
---,684 , AUGER , 61 , 59.2 , 286.3 , -37.8 , 359.34 , -18.77 , 54838 , 2009-01-07
---,685 , AGASA , 91 , N/A , 286.5 , 77.2 , 108.73 , 25.6 , 0 , ----------
---,686 , AUGER , 52.9 , 22.2 , 286.8 , -55 , 341.75 , -24.12 , 56612 , 2013-11-16
---,687 , HiRes , 28 , N/A , 287.00292 , 22.67 , 55.01 , 6.68 , 53559 , 2005-07-08
---,688 , AUGER , 123 , 49.8 , 287.6 , 1.5 , 36.43 , -3.54 , 54733 , 2008-09-24
---,689 , AUGER , 118.3 , 49.8 , 287.7 , 1.5 , 36.48 , -3.62 , 54733 , 2008-09-24
---,690 , AUGER , 82.3 , 79.4 , 287.7 , -64.9 , 331.09 , -26.42 , 55105 , 2009-10-01
---,691 , AGASA , 75.3 , N/A , 287.75 , 5.3 , 39.88 , -1.92 , 0 , ----------
---,692 , TA , 135.5 , 38.9 , 288.3 , 0.34 , 35.72 , -4.69 , 0 , ----------
---,693 , HiRes , 11.6 , N/A , 289.32083 , 69.933 , 101.15 , 23.2 , 52968 , 2003-11-25
---,694 , HiRes , 14.6 , N/A , 290.13583 , 42.797 , 74.56 , 13.12 , 51837 , 2000-10-20
---,695 , HiRes , 14.8 , N/A , 290.24667 , 69.926 , 101.24 , 22.89 , 53613 , 2005-08-31
---,696 , HiRes , 11.7 , N/A , 291.08667 , 33.739 , 66.61 , 8.47 , 53467 , 2005-04-07
---,697 , HiRes , 13.4 , N/A , 291.60292 , 71.762 , 103.29 , 23 , 53640 , 2005-09-27
---,698 , HiRes , 13.8 , N/A , 293.07875 , 11.263 , 47.62 , -3.78 , 52465 , 2002-07-10
---,699 , HiRes , 20.7 , N/A , 293.37875 , 56.195 , 88.09 , 16.76 , 51875 , 2000-11-27
---,700 , HiRes , 16.4 , N/A , 293.77792 , -2.901 , 35.33 , -11.04 , 53292 , 2004-10-14
---,701 , HiRes , 12.6 , N/A , 293.85083 , 17.001 , 53.02 , -1.66 , 53169 , 2004-06-13
---,702 , AGASA , 46.9 , N/A , 294 , 50.7 , 83.07 , 14.12 , 0 , ----------
---,703 , AGASA , 43.9 , N/A , 294.25 , 71.1 , 102.9 , 21.99 , 0 , ----------
---,704 , HiRes , 10.7 , N/A , 294.27083 , 65.323 , 97.12 , 19.92 , 52172 , 2001-09-20
---,705 , HiRes , 19.6 , N/A , 294.34875 , 25.466 , 60.64 , 2.06 , 53264 , 2004-09-16
---,706 , AUGER , 66 , 26.9 , 294.5 , -20.5 , 19.12 , -19.15 , 55022 , 2009-07-10
---,707 , AUGER , 59.5 , 26.9 , 294.5 , -20.5 , 19.12 , -19.15 , 55022 , 2009-07-10
---,708 , AGASA , 150 , N/A , 294.5 , -5.8 , 33.02 , -12.99 , 0 , ----------
---,709 , AUGER , 54.8 , 71.5 , 295.1 , -27.6 , 12.26 , -22.24 , 55674 , 2011-04-23
---,710 , TA , 124.8 , 15.9 , 295.61 , 43.53 , 77.05 , 9.88 , 0 , ----------
---,711 , HiRes , 10.7 , N/A , 295.61167 , 75.607 , 107.64 , 23.13 , 52436 , 2002-06-11
---,712 , HiRes , 54.8 , N/A , 296.98083 , 16.879 , 54.39 , -4.33 , 52559 , 2002-10-12
---,713 , Yakutsk , 62 , 48.7 , 297.3 , 45.2 , 79.13 , 9.62 , 0 , ----------
---,714 , Yakutsk , 53 , 43.1 , 297.7 , 33.5 , 69.06 , 3.53 , 0 , ----------
---,715 , HiRes , 19.1 , N/A , 297.97 , 15.299 , 53.5 , -5.94 , 53499 , 2005-05-09
---,716 , HiRes , 10.3 , N/A , 298.39 , 70.57 , 102.91 , 20.53 , 52881 , 2003-08-30
---,717 , AGASA , 105 , N/A , 298.5 , 18.7 , 56.7 , -4.65 , 0 , ----------
---,718 , AUGER , 54.6 , 49.4 , 298.7 , 8.8 , 48.18 , -9.81 , 56594 , 2013-10-29
---,719 , HiRes , 12 , N/A , 298.98 , 65.531 , 98.16 , 18.22 , 52910 , 2003-09-28
---,720 , AUGER , 82 , 65.2 , 299 , 19.4 , 57.55 , -4.7 , 53861 , 2006-05-06
---,721 , HiRes , 24 , N/A , 299.57792 , 33.099 , 69.53 , 1.97 , 51879 , 2000-12-01
---,722 , HiRes , 34 , N/A , 300.66 , -2.676 , 38.79 , -17.05 , 52784 , 2003-05-25
---,723 , HiRes , 12.1 , N/A , 300.97792 , 0.539 , 41.91 , -15.82 , 52941 , 2003-10-29
---,724 , HiRes , 17 , N/A , 301.25375 , 42.04 , 77.85 , 5.55 , 51640 , 2000-04-06
---,725 , Yakutsk , 45 , 32.5 , 302.8 , 70.2 , 103.24 , 19.04 , 0 , ----------
---,726 , HiRes , 24 , N/A , 302.845 , 36.46 , 73.81 , 1.5 , 52111 , 2001-07-21
---,727 , AUGER , 52.3 , 73.2 , 303.7 , -68.1 , 327.42 , -32.77 , 55392 , 2010-07-15
---,728 , AUGER , 66.2 , 32.3 , 303.9 , -16.5 , 26.82 , -25.85 , 54861 , 2009-01-30
---,729 , AUGER , 72 , 32.3 , 303.9 , -16.7 , 26.61 , -25.92 , 54861 , 2009-01-30
---,730 , HiRes , 11.7 , N/A , 303.97083 , 20.259 , 60.77 , -8.22 , 52530 , 2002-09-13
---,731 , AUGER , 58.3 , 59.7 , 304.3 , -81.9 , 311.62 , -29.83 , 55050 , 2009-08-07
---,732 , AUGER , 52.6 , 50.7 , 304.4 , -26.2 , 16.71 , -29.64 , 54796 , 2008-11-26
---,733 , HiRes , 34.7 , N/A , 304.79667 , 28.562 , 68.15 , -4.25 , 52816 , 2003-06-26
---,734 , HiRes , 11.4 , N/A , 304.93792 , 15.575 , 57.28 , -11.53 , 53212 , 2004-07-26
---,735 , TA , 59.5 , 45 , 305.06 , 44.36 , 81.32 , 4.49 , 0 , ----------
---,736 , AUGER , 67.4 , 36.1 , 305.5 , -34.5 , 7.63 , -32.73 , 55921 , 2011-12-26
---,737 , AUGER , 60 , 17.6 , 305.6 , -46.3 , 353.62 , -34.57 , 54085 , 2006-12-16
---,738 , AUGER , 55.1 , 20.2 , 306.5 , -55.1 , 342.9 , -35.33 , 54657 , 2008-07-10
---,739 , AUGER , 55 , 20.4 , 306.7 , -55.3 , 342.65 , -35.43 , 54657 , 2008-07-10
---,740 , HiRes , 11.8 , N/A , 306.97875 , 47.686 , 84.83 , 5.3 , 53291 , 2004-10-13
---,741 , HiRes , 13.7 , N/A , 307.84583 , 34.309 , 74.36 , -3.07 , 52559 , 2002-10-12
---,742 , AUGER , 67.3 , 8.8 , 308.1 , -39.5 , 2.13 , -35.66 , 56483 , 2013-07-10
---,743 , TA , 57.3 , 34.3 , 308.45 , 53.91 , 90.47 , 8.16 , 0 , ----------
---,744 , AUGER , 81.4 , 78.2 , 308.8 , 16.1 , 59.83 , -14.34 , 55667 , 2011-04-16
---,745 , AUGER , 99 , 47.3 , 309.4 , -66.8 , 328.46 , -35.16 , 56007 , 2012-03-21
---,746 , Yakutsk , 98 , 9.6 , 309.5 , 67.1 , 101.78 , 15.35 , 0 , ----------
---,747 , HiRes , 13.2 , N/A , 309.75875 , 73.787 , 107.66 , 18.99 , 53519 , 2005-05-29
---,748 , AUGER , 56.8 , 61.6 , 310.6 , -83.1 , 309.99 , -30.17 , 56132 , 2012-07-24
---,749 , HiRes , 17.6 , N/A , 310.79875 , 16.246 , 61.09 , -15.83 , 53142 , 2004-05-17
---,750 , TA , 57.9 , 31.3 , 311.15 , 51.06 , 89.17 , 5.13 , 0 , ----------
---,751 , HiRes , 11.8 , N/A , 311.93375 , 57.952 , 94.92 , 9.03 , 52911 , 2003-09-29
---,752 , HiRes , 14.4 , N/A , 312.29792 , 24.74 , 68.99 , -11.92 , 53269 , 2004-09-21
---,753 , AUGER , 58.4 , 66.7 , 312.9 , -14.2 , 33.13 , -32.95 , 55435 , 2010-08-27
---,754 , AUGER , 52.4 , 40.7 , 313.5 , -16.6 , 30.74 , -34.4 , 55868 , 2011-11-03
---,755 , HiRes , 17.2 , N/A , 313.55583 , -11.015 , 36.89 , -32.22 , 52882 , 2003-08-31
---,756 , HiRes , 12.5 , N/A , 313.59792 , 33.767 , 76.86 , -7.17 , 51877 , 2000-11-29
---,757 , HiRes , 19.7 , N/A , 313.83083 , 1.656 , 49.82 , -26.4 , 52939 , 2003-10-27
---,758 , HiRes , 11.6 , N/A , 314.45 , 42.301 , 83.84 , -2.18 , 53372 , 2005-01-02
---,759 , HiRes , 10.9 , N/A , 314.57375 , 15.18 , 62.42 , -19.4 , 52049 , 2001-05-20
---,760 , HiRes , 13.5 , N/A , 314.75375 , 17.601 , 64.57 , -18.08 , 52466 , 2002-07-11
---,761 , AUGER , 53.2 , 67.3 , 314.9 , -67.3 , 327.13 , -37.08 , 56323 , 2013-01-31
---,762 , AUGER , 62 , 51.5 , 314.9 , -53.4 , 344.48 , -40.37 , 54445 , 2007-12-11
---,763 , Yakutsk , 56 , 27.4 , 315 , 57.8 , 95.84 , 7.67 , 0 , ----------
---,764 , HiRes , 26.9 , N/A , 315.12375 , 87.355 , 120.45 , 25.69 , 53108 , 2004-04-13
---,765 , AUGER , 72.7 , 51.6 , 315.3 , -53.8 , 343.91 , -40.54 , 54445 , 2007-12-11
---,766 , AUGER , 56 , 40 , 315.4 , -0.4 , 48.76 , -28.81 , 53676 , 2005-11-02
---,767 , AUGER , 53.5 , 47.4 , 315.8 , -82.1 , 310.68 , -31.22 , 55401 , 2010-07-24
---,768 , HiRes , 22.7 , N/A , 317.95292 , 2.403 , 53.03 , -29.48 , 52463 , 2002-07-08
---,769 , HiRes , 11.9 , N/A , 318.19375 , 12.188 , 62.13 , -24.01 , 53287 , 2004-10-09
---,770 , HiRes , 18.4 , N/A , 319.00583 , 8.449 , 59.35 , -26.89 , 52495 , 2002-08-09
---,771 , HiRes , 38 , N/A , 319.82583 , 23.044 , 72.18 , -18.3 , 51791 , 2000-09-04
---,772 , TA , 57.4 , 38.1 , 319.95 , 15.87 , 66.43 , -23.06 , 0 , ----------
---,773 , HiRes , 68.9 , N/A , 320.49667 , 53.078 , 94.5 , 2.18 , 52467 , 2002-07-12
---,774 , HiRes , 14 , N/A , 320.76083 , 0.698 , 53.17 , -32.76 , 52876 , 2003-08-25
---,775 , AUGER , 53.8 , 54 , 321 , 8.1 , 60.36 , -28.68 , 54109 , 2007-01-09
---,776 , AUGER , 56.3 , 57.3 , 322.5 , -2 , 51.57 , -35.69 , 53853 , 2006-04-28
---,777 , HiRes , 11.2 , N/A , 323.28167 , 29.926 , 79.63 , -15.83 , 52935 , 2003-10-23
---,778 , HiRes , 21 , N/A , 323.79792 , 34.159 , 83 , -13.1 , 53622 , 2005-09-09
---,779 , HiRes , 40.8 , N/A , 323.99 , 58.353 , 99.57 , 4.64 , 51667 , 2000-05-03
---,780 , AGASA , 74.6 , N/A , 324.25 , 8.1 , 62.64 , -31.22 , 0 , ----------
---,781 , AUGER , 75.6 , 53.8 , 324.5 , 17.9 , 71.24 , -25 , 55422 , 2010-08-14
---,782 , AUGER , 79.7 , 17.9 , 325.5 , -33.4 , 12.23 , -48.97 , 54293 , 2007-07-12
---,783 , AUGER , 87 , 17.9 , 325.5 , -33.4 , 12.23 , -48.97 , 54293 , 2007-07-12
---,784 , AUGER , 73 , 21.1 , 325.7 , -15.6 , 37.73 , -44.87 , 54395 , 2007-10-22
---,785 , AUGER , 65.9 , 21.1 , 325.7 , -15.5 , 37.86 , -44.83 , 54395 , 2007-10-22
---,786 , AUGER , 70 , 78.4 , 325.8 , 42.8 , 90.1 , -7.76 , 55068 , 2009-08-25
---,787 , HiRes , 11.1 , N/A , 325.80667 , 73.085 , 110.19 , 15.06 , 53675 , 2005-11-01
---,788 , HiRes , 27.8 , N/A , 325.84583 , 14.951 , 69.79 , -27.95 , 53269 , 2004-09-21
---,789 , HiRes , 31.6 , N/A , 325.92167 , 25.18 , 77.89 , -20.85 , 53263 , 2004-09-15
---,790 , AUGER , 58.5 , 65.1 , 327.5 , -25.1 , 25.21 , -49.45 , 56573 , 2013-10-08
---,791 , HiRes , 37.1 , N/A , 327.74792 , 47.245 , 94.05 , -5.26 , 52755 , 2003-04-26
---,792 , HiRes , 24.7 , N/A , 328.225 , -6.598 , 50.43 , -42.97 , 53587 , 2005-08-05
---,793 , HiRes , 15.1 , N/A , 328.255 , 17.029 , 73.31 , -28.19 , 53176 , 2004-06-20
---,794 , HiRes , 16.4 , N/A , 328.375 , 31.276 , 83.95 , -17.82 , 52937 , 2003-10-25
---,795 , HiRes , 46.6 , N/A , 328.81792 , 15.427 , 72.44 , -29.7 , 53237 , 2004-08-20
---,796 , AGASA , 48.2 , N/A , 329.25 , 27.6 , 82 , -21.09 , 0 , ----------
---,797 , AUGER , 55.1 , 27.2 , 330.8 , -8.9 , 49.49 , -46.34 , 54971 , 2009-05-20
---,798 , HiRes , 68.1 , N/A , 331.15167 , 26.529 , 82.63 , -23.01 , 52962 , 2003-11-19
---,799 , AUGER , 71.9 , 54.4 , 331.2 , -1.3 , 58.67 , -42.47 , 53433 , 2005-03-04
---,800 , AUGER , 68 , 54.4 , 331.2 , -1.2 , 58.78 , -42.41 , 53433 , 2005-03-04
---,801 , TA , 65.2 , 23.3 , 331.65 , 18.85 , 77.4 , -29.1 , 0 , ----------
---,802 , AUGER , 57 , 39.2 , 331.7 , 2.9 , 63.47 , -40.25 , 54151 , 2007-02-20
---,803 , HiRes , 21.4 , N/A , 331.91792 , -29.601 , 19.11 , -54.08 , 52935 , 2003-10-23
---,804 , AUGER , 55 , 15.4 , 332.9 , -38.2 , 4.28 , -54.9 , 53665 , 2005-10-22
---,805 , HiRes , 13.7 , N/A , 332.95583 , 23.57 , 81.93 , -26.33 , 53204 , 2004-07-18
---,806 , AUGER , 54.9 , 15.3 , 333 , -38.1 , 4.44 , -54.99 , 53665 , 2005-10-22
---,807 , AUGER , 64.9 , 54.1 , 333.8 , -79.2 , 311.24 , -35.27 , 55697 , 2011-05-16
---,808 , HiRes , 12.1 , N/A , 333.91583 , 22.292 , 81.79 , -27.88 , 52913 , 2003-10-01
---,809 , Yakutsk , 68 , 20.4 , 335.2 , 51 , 100.22 , -5.11 , 0 , ----------
---,810 , AGASA , 68.1 , N/A , 335.25 , 38.4 , 93.15 , -15.63 , 0 , ----------
---,811 , HiRes , 15.3 , N/A , 337.74083 , 9.381 , 75.04 , -40.09 , 52638 , 2002-12-30
---,812 , HiRes , 10.8 , N/A , 338.10375 , 0.712 , 67.01 , -46.51 , 53678 , 2005-11-04
---,813 , AUGER , 61.2 , 59 , 339.4 , -63.3 , 324.58 , -47.82 , 54731 , 2008-09-22
---,814 , AGASA , 49.5 , N/A , 340 , 42.6 , 98.62 , -13.99 , 0 , ----------
---,815 , AUGER , 118.3 , 58.5 , 340.6 , 12 , 80.05 , -39.9 , 56722 , 2014-03-06
---,816 , HiRes , 14.3 , N/A , 340.99167 , 39.736 , 97.83 , -16.85 , 52883 , 2003-09-01
---,817 , AUGER , 54.4 , 65.5 , 342.9 , -6.5 , 63.39 , -54.86 , 56119 , 2012-07-11
---,818 , Yakutsk , 44 , 11.2 , 343 , 65.8 , 111.09 , 5.71 , 0 , ----------
---,819 , HiRes , 11.5 , N/A , 343.32375 , 43.969 , 101.49 , -13.93 , 52971 , 2003-11-28
---,820 , AUGER , 92.8 , 47.6 , 343.4 , -71.6 , 315.11 , -42.64 , 55922 , 2011-12-27
---,821 , HiRes , 11.6 , N/A , 343.79167 , 67.374 , 112.07 , 6.98 , 53323 , 2004-11-14
---,822 , HiRes , 14.6 , N/A , 344.39875 , 5.289 , 78.33 , -47.49 , 53667 , 2005-10-24
---,823 , AUGER , 56.4 , 65 , 344.5 , -19.9 , 42.38 , -63.08 , 55768 , 2011-07-26
---,824 , HiRes , 11 , N/A , 345.06292 , 39.724 , 100.73 , -18.31 , 52616 , 2002-12-08
---,825 , HiRes , 34 , N/A , 345.28583 , 52.792 , 106.56 , -6.54 , 52904 , 2003-09-22
---,826 , AUGER , 63.4 , 47.9 , 345.4 , -9 , 62.69 , -58.36 , 56516 , 2013-08-12
---,827 , HiRes , 18.8 , N/A , 345.50667 , 44.821 , 103.31 , -13.85 , 53648 , 2005-10-05
---,828 , HiRes , 10.1 , N/A , 345.73167 , 55.709 , 108 , -3.99 , 53557 , 2005-07-06
---,829 , AGASA , 104 , N/A , 345.75 , 33.9 , 98.51 , -23.78 , 0 , ----------
---,830 , HiRes , 11.9 , N/A , 347.375 , 13.376 , 88.31 , -42.54 , 52582 , 2002-11-04
---,831 , TA , 122.2 , 38 , 347.73 , 39.46 , 102.59 , -19.41 , 0 , ----------
---,832 , AGASA , 120 , N/A , 349 , 12.3 , 89.43 , -44.28 , 0 , ----------
---,833 , HiRes , 45.5 , N/A , 349.15167 , 85.49 , 120.96 , 22.98 , 53355 , 2004-12-16
---,834 , HiRes , 11.2 , N/A , 349.155 , 7.866 , 86.29 , -48.15 , 52531 , 2002-09-14
---,835 , HiRes , 11.2 , N/A , 349.50875 , 21.757 , 95.81 , -36.15 , 51843 , 2000-10-26
---,836 , AUGER , 89 , 58.8 , 349.9 , 9.3 , 88.34 , -47.31 , 53920 , 2006-07-04
---,837 , AUGER , 80 , 59 , 350.1 , 9.5 , 88.74 , -47.24 , 53920 , 2006-07-04
---,838 , Yakutsk , 49 , 26.2 , 351 , 72.9 , 116.52 , 11.12 , 0 , ----------
---,839 , HiRes , 28 , N/A , 351.76083 , 18.948 , 96.71 , -39.59 , 51872 , 2000-11-24
---,840 , AUGER , 111.8 , 50.2 , 352.6 , -20.8 , 47.45 , -70.47 , 54483 , 2008-01-18
---,841 , AUGER , 115 , 50.1 , 352.7 , -20.9 , 47.29 , -70.59 , 54483 , 2008-01-18
---,842 , HiRes , 26.6 , N/A , 353.16875 , 27.87 , 102.4 , -31.85 , 53677 , 2005-11-03
---,843 , HiRes , 18.2 , N/A , 353.62167 , -3.622 , 81.56 , -60.16 , 51513 , 1999-12-01
---,844 , HiRes , 28.9 , N/A , 355.20083 , 39.562 , 108.39 , -21.31 , 53262 , 2004-09-14
---,845 , HiRes , 10 , N/A , 355.31292 , 60.482 , 114.38 , -1.22 , 51868 , 2000-11-20
---,846 , HiRes , 12.3 , N/A , 355.51083 , -0.681 , 87.85 , -58.75 , 53291 , 2004-10-13
---,847 , HiRes , 14.2 , N/A , 355.78875 , -0.172 , 88.81 , -58.45 , 53257 , 2004-09-09
---,848 , TA , 59 , 28.6 , 355.95 , 64.19 , 115.65 , 2.28 , 0 , ----------
---,849 , HiRes , 17.1 , N/A , 356.08083 , -0.157 , 89.31 , -58.58 , 53230 , 2004-08-13
---,850 , Yakutsk , 58 , 42.6 , 356.3 , 23.9 , 104.01 , -36.53 , 0 , ----------
---,851 , AUGER , 57.3 , 59.3 , 357 , -81.1 , 305.91 , -35.66 , 56424 , 2013-05-12
---,852 , HiRes , 12.9 , N/A , 357.39375 , -12.912 , 74.37 , -69.72 , 51822 , 2000-10-05
---,853 , AUGER , 63.6 , 60.8 , 358.2 , -2.8 , 90.45 , -61.92 , 55033 , 2009-07-21
---,854 , AUGER , 56 , 53 , 358.9 , 15.5 , 103.64 , -45.27 , 54670 , 2008-07-23
---,855 , AUGER , 56.7 , 53.1 , 358.9 , 15.5 , 103.64 , -45.27 , 54670 , 2008-07-23
---,856 , HiRes , 14.9 , N/A , 359.36375 , 61.107 , 116.45 , -1.09 , 52644 , 2003-01-05
---,857 , TA , 67.4 , 8.9 , 359.91 , 31.47 , 110.16 , -30.12 , 0 , ----------
---,858 , HiRes , 10.9 , N/A , 359.96292 , 2.574 , 98.19 , -57.8 , 53669 , 2005-10-26
