_id , wfccat_name, other_name , RA , Dec , LII , BII , 2-10keV_flux , ObsCode , Distance_Ref , Mean_distance_Ref , Num_detections , Classification , Ra_ref , Dec_ref , Error_radius , 2-8keV_SNR , 8-19keV_SNR , 2-8keV_SNR-sigthres_ratio , Emptyimage_sigthres , Quality_flag , Source_Name , Notes
63   , "SAXWFC J0841.4+7054.8"   ,  "4C71.07"   ,  130.34042   ,  70.91339   ,  "143.52"   ,  "34.41"   ,  6.45e-11   ,  "5131900100"   ,  1.13   ,  1.49   ,  10   ,  "QSO Radio Loud flat radio sp."   ,  "08 36 21.59"   ,  "+71 04 21.89"   ,  1.8   ,  8.13   ,  2   ,  5.05   ,  1.60866   ,  9   ,  "4C71.07"   ,  "---"
64   , "SAXWFC J0902.1-4032.8"   ,  "VelaX-1"   ,  135.5175   ,  -40.54628   ,  "263.04"   ,  "3.92"   ,  1.87e-9   ,  "5122300100"   ,  0.71   ,  0.63   ,  129   ,  "HMXRB supergiant"   ,  "09 00 13.2"   ,  "-40 21 25.09"   ,  1.3   ,  221.04   ,  86.5   ,  91.67   ,  2.04256   ,  9   ,  "VelaX-1"   ,  "---"
65   , "SAXWFC J0920.4-5512.4"   ,  "2S0918-549"   ,  140.10875   ,  -55.20669   ,  "275.85"   ,  "-3.85"   ,  1.74e-9   ,  "2027500700"   ,  0.08   ,  0.78   ,  109   ,  "LMXRB"   ,  "09 18 54.72"   ,  "-54 59 37.14"   ,  1.3   ,  106.98   ,  38   ,  91.18   ,  1.1077   ,  9   ,  "2S0918-549"   ,  "---"
66   , "SAXWFC J0923.7+2253.8"   ,  "RXJ0923.7+2254"   ,  140.91542   ,  22.89619   ,  "206.06"   ,  "43.06"   ,  9.84e-11   ,  "2130300400"   ,  1.07   ,  0   ,  1   ,  "Seyfert type 1"   ,  "09 20 51.35"   ,  "+23 07 27.15"   ,  2.3   ,  7.39   ,  -0.7   ,  4.98   ,  1.48363   ,  5   ,  "RXJ0923.7+2254"   ,  "---"
67   , "SAXWFC J0922.6-6317.6"   ,  "2S0921-63"   ,  140.66   ,  -63.29308   ,  "281.83"   ,  "-9.34"   ,  8.4e-11   ,  "2075900100"   ,  0.43   ,  1.12   ,  21   ,  "LMXRB"   ,  "09 21 24.96"   ,  "-63 04 47.64"   ,  1.5   ,  11.04   ,  2.6   ,  7.55   ,  1.45171   ,  9   ,  "2S0921-63"   ,  "---"
68   , "SAXWFC J0924.3-3142.4"   ,  "1RXSJ092418.0-31"   ,  141.07375   ,  -31.70689   ,  "259.56"   ,  "13.22"   ,  9.72e-11   ,  "5125800100"   ,  0.22   ,  0.88   ,  32   ,  "Unknown class"   ,  "09 22 10.31"   ,  "-31 29 15.61"   ,  1.5   ,  14.54   ,  -1.4   ,  8.44   ,  1.71348   ,  9   ,  "1RXSJ092418.0-31"   ,  "---"
69   , "SAXWFC J0934.1+6251.9"   ,  "FFUMa"   ,  143.525   ,  62.8655   ,  "150.71"   ,  "42.09"   ,  1.32e-10   ,  "5031800100"   ,  3.14   ,  0   ,  1   ,  "Star G5 0"   ,  "09 29 53.99"   ,  "+63 03 03.52"   ,  2   ,  6.76   ,  2.7   ,  5.55   ,  1.22047   ,  5   ,  "FFUMa"   ,  "---"
70   , "SAXWFC J0945.6-1419.7"   ,  "NGC2992"   ,  146.39583   ,  -14.32889   ,  "249.68"   ,  "28.75"   ,  7.04e-11   ,  "5145300100"   ,  1.48   ,  0   ,  1   ,  "Seyfert type 1"   ,  "09 43 16.79"   ,  "-14 05 48.91"   ,  1.8   ,  5.97   ,  4.5   ,  3   ,  1.99137   ,  6   ,  "NGC2992"   ,  "---"
71   , "SAXWFC J0947.6-3056.7"   ,  "MCG-5-23-16"   ,  146.89708   ,  -30.9455   ,  "262.72"   ,  "17.22"   ,  1.04e-10   ,  "5125800100"   ,  1.03   ,  0.86   ,  10   ,  "Seyfert type 2"   ,  "09 45 28.32"   ,  "-30 42 56.84"   ,  1.9   ,  16.23   ,  5.3   ,  9.42   ,  1.71348   ,  9   ,  "MCG-5-23-16"   ,  "---"
72   , "SAXWFC J0955.5+6903.8"   ,  "NGC3031"   ,  148.8825   ,  69.06389   ,  "142.09"   ,  "40.9"   ,  3.13e-11   ,  "6101800200"   ,  0.33   ,  1.06   ,  4   ,  "Seyfert type 1"   ,  "09 51 28.8"   ,  "+69 17 51.39"   ,  1.8   ,  7.21   ,  3.5   ,  4.41   ,  1.63723   ,  9   ,  "NGC3031"   ,  "---"
73   , "SAXWFC J0955.6+6940.6"   ,  "NGC3034"   ,  148.91083   ,  69.67589   ,  "141.42"   ,  "40.55"   ,  4.67e-11   ,  "1003100200"   ,  1.06   ,  0.85   ,  3   ,  "Starburst galaxy"   ,  "09 51 42.0"   ,  "+69 54 57.45"   ,  1.9   ,  10.35   ,  2.7   ,  7.25   ,  1.42703   ,  9   ,  "NGC3034"   ,  "---"
74   , "SAXWFC J1009.7-5817.6"   ,  "GROJ1008-57"   ,  152.4325   ,  -58.29319   ,  "282.99"   ,  "-1.83"   ,  3.3e-10   ,  "1032400100"   ,  0.28   ,  0.98   ,  4   ,  "HMXRB Be star"   ,  "10 08 02.39"   ,  "-58 02 49.19"   ,  1.3   ,  41.69   ,  13.2   ,  22.19   ,  1.83897   ,  9   ,  "GROJ1008-57"   ,  "---"
75   , "SAXWFC J1037.6-5647.6"   ,  "RXJ1037.5-5647"   ,  159.395   ,  -56.79258   ,  "285.34"   ,  "1.43"   ,  5.87e-11   ,  "1032400100"   ,  0.61   ,  0.88   ,  3   ,  "HMXRB Be star"   ,  "10 35 37.91"   ,  "-56 32 33.36"   ,  1.7   ,  11.64   ,  6.7   ,  6.2   ,  1.83897   ,  9   ,  "RXJ1037.5-5647"   ,  "---"
76   , "SAXWFC J1045.1-5941.1"   ,  "EtaCar"   ,  161.26333   ,  -59.68569   ,  "287.59"   ,  "-0.64"   ,  1.57e-10   ,  "5016000800"   ,  0.09   ,  0.97   ,  42   ,  "Star unclassified"   ,  "10 43 06.96"   ,  "-59 25 15.63"   ,  1.3   ,  23.11   ,  6.8   ,  14.38   ,  1.57281   ,  9   ,  "EtaCar"   ,  "---"
77   , "SAXWFC J1052.6-6216.0"   ,  "2E1050.8-6200"   ,  163.13875   ,  -62.2665   ,  "289.57"   ,  "-2.52"   ,  1.76e-10   ,  "5075000100"   ,  999   ,  0   ,  1   ,  "Unknown class"   ,  "00 00 00.0"   ,  "+00 00 00.0"   ,  1.6   ,  10.57   ,  9.8   ,  6.1   ,  1.54072   ,  9   ,  "2E1050.8-6200"   ,  "---"
78   , "SAXWFC J1104.4+3812.0"   ,  "MKN421"   ,  166.09583   ,  38.20008   ,  "179.86"   ,  "65.02"   ,  5.3e-10   ,  "1053800100"   ,  0.96   ,  1.16   ,  31   ,  "BL Lac"   ,  "11 01 40.56"   ,  "+38 28 43.49"   ,  1.3   ,  33.93   ,  3.2   ,  13.94   ,  2.34213   ,  9   ,  "MKN421"   ,  "---"
79   , "SAXWFC J1106.8+7233.6"   ,  "NGC3516"   ,  166.71042   ,  72.5595   ,  "133.23"   ,  "42.41"   ,  9.05e-11   ,  "5040700100"   ,  0.58   ,  1.15   ,  19   ,  "Seyfert type 1"   ,  "11 03 22.79"   ,  "+72 50 19.6"   ,  1.4   ,  13.98   ,  3.5   ,  8.9   ,  1.57002   ,  9   ,  "NGC3516"   ,  "---"
80   , "SAXWFC J1118.2+4802.9"   ,  "XTEJ1118+480"   ,  169.56208   ,  48.04878   ,  "157.62"   ,  "62.32"   ,  6.92e-10   ,  "5117900100"   ,  1   ,  0.88   ,  9   ,  "LMXRB"   ,  "11 15 23.04"   ,  "+48 18 36.61"   ,  1.3   ,  80.72   ,  18.9   ,  45.16   ,  1.74929   ,  9   ,  "XTEJ1118+480"   ,  "---"
81   , "SAXWFC J1121.3-6037.5"   ,  "CenX-3"   ,  170.31625   ,  -60.625   ,  "292.09"   ,  "0.33"   ,  5.6e-9   ,  "2080300100"   ,  0.14   ,  0.82   ,  152   ,  "HMXRB Be star"   ,  "11 19 01.92"   ,  "-60 20 56.86"   ,  1.3   ,  545.66   ,  209.7   ,  151.05   ,  1.76654   ,  9   ,  "CenX-3"   ,  "---"
82   , "SAXWFC J1124.5-5915.7"   ,  "SNR292.0+01.8"   ,  171.13167   ,  -59.26239   ,  "292.02"   ,  "1.75"   ,  4.21e-11   ,  "5001600100"   ,  0.49   ,  1.96   ,  4   ,  "SNR Composite "   ,  "11 22 12.0"   ,  "-58 59 08.55"   ,  1.8   ,  6.84   ,  0.8   ,  3.01   ,  2.2358   ,  9   ,  "SNR292.0+01.8"   ,  "---"
83   , "SAXWFC J1138.9-3744.7"   ,  "NGC3783"   ,  174.73333   ,  -37.74478   ,  "287.43"   ,  "22.93"   ,  8.36e-11   ,  "5133800200"   ,  0.52   ,  1.12   ,  12   ,  "Seyfert type 1"   ,  "11 36 29.99"   ,  "-37 27 59.47"   ,  1.6   ,  10.65   ,  3.4   ,  4.06   ,  2.62077   ,  9   ,  "NGC3783"   ,  "---"
84   , "SAXWFC J1139.5-6523.4"   ,  "HD101379"   ,  174.86708   ,  -65.38939   ,  "295.52"   ,  "-3.56"   ,  3.88e-10   ,  "2112000100"   ,  0.52   ,  1.07   ,  10   ,  "Star G2 III"   ,  "11 37 09.84"   ,  "-65 07 13.4"   ,  1.3   ,  60.13   ,  11.8   ,  28.06   ,  2.05125   ,  9   ,  "HD101379"   ,  "---"
85   , "SAXWFC J1141.5-6411.3"   ,  "V1033Cen"   ,  175.37333   ,  -64.18839   ,  "295.4"   ,  "-2.35"   ,  6.01e-11   ,  "5088000100"   ,  1.38   ,  2.56   ,  2   ,  "CV AM Her (polar)"   ,  "11 39 01.43"   ,  "-63 53 27.88"   ,  2.2   ,  6.98   ,  3.1   ,  3.38   ,  2.02826   ,  5   ,  "V1033Cen"   ,  "---"
86   , "SAXWFC J1143.6+7141.1"   ,  "YYDra"   ,  175.89667   ,  71.68458   ,  "130.31"   ,  "44.46"   ,  4.5e-11   ,  "5085000100"   ,  0.36   ,  0.63   ,  3   ,  "CV "   ,  "11 40 48.95"   ,  "+71 57 58.42"   ,  1.6   ,  7.8   ,  -1   ,  5.02   ,  1.55497   ,  9   ,  "YYDra"   ,  "---"
87   , "SAXWFC J1143.8-6108.3"   ,  "IGRJ11435-6109"   ,  175.95083   ,  -61.13828   ,  "294.86"   ,  "0.66"   ,  1.47e-10   ,  "5147200300"   ,  3   ,  0   ,  1   ,  "HMXRB Be star"   ,  "11 41 45.84"   ,  "-60 50 22.41"   ,  1.6   ,  14.2   ,  9.2   ,  7.09   ,  1.92254   ,  9   ,  "IGRJ11435-6109"   ,  "---"
88   , "SAXWFC J1147.4-6156.5"   ,  "1E1145.1-6141"   ,  176.83958   ,  -61.94228   ,  "295.47"   ,  "-0.01"   ,  4.1e-10   ,  "6012600200"   ,  1.07   ,  0.96   ,  71   ,  "HMXRB supergiant"   ,  "11 45 02.15"   ,  "-61 40 32.55"   ,  1.3   ,  35.74   ,  23.5   ,  5.79   ,  3.62499   ,  9   ,  "1E1145.1-6141"   ,  "---"
89   , "SAXWFC J1148.0-6211.9"   ,  "4U1145-619"   ,  177.01   ,  -62.19758   ,  "295.61"   ,  "-0.24"   ,  1.09e-9   ,  "2024400200"   ,  0.61   ,  0.79   ,  6   ,  "HMXRB Be star"   ,  "11 45 33.59"   ,  "-61 55 43.42"   ,  1.3   ,  47.92   ,  27.4   ,  36.94   ,  1.24563   ,  9   ,  "4U1145-619"   ,  "---"
90   , "SAXWFC J1210.4+3924.4"   ,  "NGC4151"   ,  182.605   ,  39.40728   ,  "155.14"   ,  "75.04"   ,  1.27e-10   ,  "2018500130"   ,  1.41   ,  1.13   ,  40   ,  "Seyfert type 1"   ,  "12 08 00.95"   ,  "+39 41 02.04"   ,  1.3   ,  24.78   ,  15.4   ,  15.7   ,  1.5752   ,  9   ,  "NGC4151"   ,  "---"
91   , "SAXWFC J1213.2-6452.7"   ,  "1ES1210-64.6"   ,  183.29458   ,  -64.87908   ,  "298.88"   ,  "-2.32"   ,  2.57e-10   ,  "2017400100"   ,  0.68   ,  0.89   ,  20   ,  "Unknown class"   ,  "12 10 36.0"   ,  "-64 36 06.01"   ,  1.3   ,  36.3   ,  13.6   ,  9.05   ,  2.51786   ,  9   ,  "1ES1210-64.6"   ,  "---"
92   , "SAXWFC J1226.6-6245.7"   ,  "GX301-2"   ,  186.65042   ,  -62.762   ,  "300.09"   ,  "-0.03"   ,  1.73e-9   ,  "5012400600"   ,  0.52   ,  0.76   ,  105   ,  "HMXRB supergiant"   ,  "12 23 49.67"   ,  "-62 29 36.81"   ,  1.3   ,  175.47   ,  76.6   ,  117.22   ,  1.34284   ,  9   ,  "GX301-2"   ,  "---"
93   , "SAXWFC J1229.1+0202.3"   ,  "3C273"   ,  187.2725   ,  2.03908   ,  "289.94"   ,  "64.34"   ,  7.88e-11   ,  "5110900300"   ,  0.86   ,  1.1   ,  3   ,  "BL Lac"   ,  "12 26 33.36"   ,  "+02 19 43.46"   ,  1.8   ,  8.08   ,  0.5   ,  5.81   ,  1.39261   ,  9   ,  "3C273"   ,  "---"
94   , "SAXWFC J1248.9-4119.6"   ,  "ABELL3526"   ,  192.22792   ,  -41.3265   ,  "302.42"   ,  "21.54"   ,  5.83e-11   ,  "5049100100"   ,  1.52   ,  0   ,  1   ,  "Cluster of galaxies"   ,  "12 46 02.64"   ,  "-41 02 18.13"   ,  1.5   ,  8.21   ,  1.1   ,  3.95   ,  2.00813   ,  9   ,  "ABELL3526"   ,  "---"
95   , "SAXWFC J1249.7-5905.1"   ,  "4U1246-58"   ,  192.425   ,  -59.0845   ,  "302.7"   ,  "3.78"   ,  4.78e-10   ,  "5086300500"   ,  2.47   ,  2.18   ,  50   ,  "LMXRB"   ,  "12 46 33.12"   ,  "-58 50 39.65"   ,  1.3   ,  61.73   ,  13.4   ,  28.84   ,  1.6881   ,  9   ,  "4U1246-58"   ,  "---"
96   , "SAXWFC J1252.4-2914.0"   ,  "EXHya"   ,  193.09   ,  -29.233   ,  "303.17"   ,  "33.63"   ,  1.07e-10   ,  "7020003900"   ,  1.17   ,  1.1   ,  8   ,  "CV "   ,  "12 49 42.47"   ,  "-28 58 40.0"   ,  1.5   ,  15.54   ,  4.3   ,  10.24   ,  1.51265   ,  9   ,  "EXHya"   ,  "---"
97   , "SAXWFC J1257.6-6917.0"   ,  "4U1254-690"   ,  194.39708   ,  -69.28358   ,  "303.47"   ,  "-6.43"   ,  7.81e-10   ,  "5054100300"   ,  0.35   ,  0.76   ,  178   ,  "LMXRB"   ,  "12 54 20.87"   ,  "-69 01 07.49"   ,  1.3   ,  116.66   ,  12.5   ,  47.15   ,  2.22676   ,  9   ,  "4U1254-690"   ,  "---"
98   , "SAXWFC J1259.5+2756.6"   ,  "ComaCluster"   ,  194.88208   ,  27.94289   ,  "57.77"   ,  "88.03"   ,  9.77e-11   ,  "1118300200"   ,  3.99   ,  0   ,  1   ,  "Cluster of galaxies"   ,  "12 57 22.55"   ,  "+28 14 46.68"   ,  1.5   ,  8.45   ,  1.2   ,  4.77   ,  1.77027   ,  9   ,  "ComaCluster"   ,  "---"
99   , "SAXWFC J1325.5-4302.1"   ,  "CenA"   ,  201.3725   ,  -43.03419   ,  "309.51"   ,  "19.39"   ,  2.05e-10   ,  "2001800100"   ,  1.05   ,  1.03   ,  32   ,  "Seyfert Radio Loud"   ,  "13 22 33.12"   ,  "-42 45 24.33"   ,  1.3   ,  34.87   ,  18.5   ,  15.34   ,  2.26092   ,  9   ,  "CenA"   ,  "---"
100   , "SAXWFC J1326.7-6208.8"   ,  "4U1323-619"   ,  201.67792   ,  -62.14639   ,  "307.03"   ,  "0.44"   ,  3.68e-10   ,  "5137000100"   ,  1   ,  0.87   ,  33   ,  "LMXRB"   ,  "13 23 16.79"   ,  "-61 52 35.79"   ,  1.4   ,  21.97   ,  1.4   ,  10.18   ,  2.05268   ,  9   ,  "4U1323-619"   ,  "---"
101   , "SAXWFC J1336.0-3417.1"   ,  "MCG-06.30.015"   ,  203.98833   ,  -34.28528   ,  "313.3"   ,  "27.68"   ,  6.17e-11   ,  "2001800100"   ,  1.05   ,  0   ,  1   ,  "Seyfert type 1"   ,  "13 33 01.43"   ,  "-34 02 29.65"   ,  1.6   ,  10.99   ,  3.9   ,  4.84   ,  2.26092   ,  9   ,  "MCG-06.30.015"   ,  "---"
102   , "SAXWFC J1347.4-3252.0"   ,  "ABELL3571"   ,  206.85583   ,  -32.86639   ,  "316.3"   ,  "28.54"   ,  6.99e-11   ,  "2001800100"   ,  0.63   ,  1.47   ,  4   ,  "Cluster of galaxies"   ,  "13 44 35.51"   ,  "-32 36 57.09"   ,  1.6   ,  9.38   ,  2.5   ,  4.13   ,  2.26092   ,  9   ,  "ABELL3571"   ,  "---"
103   , "SAXWFC J1349.3-3019.1"   ,  "ESO445-50"   ,  207.32333   ,  -30.31869   ,  "317.48"   ,  "30.91"   ,  1.84e-10   ,  "5092600100"   ,  0.66   ,  1.15   ,  14   ,  "Seyfert type 1"   ,  "13 46 27.84"   ,  "-30 03 40.78"   ,  1.4   ,  18.92   ,  5.8   ,  5.96   ,  2.59439   ,  9   ,  "ESO445-50"   ,  "---"
104   , "SAXWFC J1348.8+2635.9"   ,  "ABELL1795"   ,  207.21208   ,  26.59819   ,  "33.82"   ,  "77.19"   ,  6.31e-11   ,  "1118300200"   ,  0.47   ,  0.82   ,  4   ,  "Radio Galaxy radio loud/flat spectrum"   ,  "13 46 34.07"   ,  "+26 50 28.57"   ,  1.5   ,  8.18   ,  3   ,  4.62   ,  1.77027   ,  9   ,  "ABELL1795"   ,  "---"
105   , "SAXWFC J1358.0-6443.7"   ,  "CenX-2"   ,  209.5125   ,  -64.7275   ,  "309.96"   ,  "-2.78"   ,  8.43e-10   ,  "5012400600"   ,  0.83   ,  0.63   ,  7   ,  "LMXRB"   ,  "13 54 27.36"   ,  "-64 29 29.07"   ,  1.3   ,  41.18   ,  15.8   ,  27.51   ,  1.34284   ,  9   ,  "CenX-2"   ,  "---"
106   , "SAXWFC J1413.3-0311.7"   ,  "MKN1376"   ,  213.31417   ,  -3.19569   ,  "339.16"   ,  "53.81"   ,  1.04e-10   ,  "5132200100"   ,  0.73   ,  0.88   ,  8   ,  "Seyfert type 2"   ,  "14 10 39.12"   ,  "-02 58 26.32"   ,  1.4   ,  19.02   ,  5.9   ,  10.35   ,  1.83514   ,  9   ,  "MKN1376"   ,  "---"
107   , "SAXWFC J1421.2-6241.7"   ,  "4U1416-62"   ,  215.30125   ,  -62.695   ,  "313.02"   ,  "-1.6"   ,  1.7e-10   ,  "5124100120"   ,  0.2   ,  0.85   ,  13   ,  "HMXRB Be star"   ,  "14 17 25.43"   ,  "-62 28 11.27"   ,  1.4   ,  15.22   ,  15.8   ,  6.23   ,  1.66212   ,  9   ,  "4U1416-62"   ,  "---"
108   , "SAXWFC J1428.6-5421.9"   ,  "SAXJ1428.6-5422"   ,  217.155   ,  -54.36578   ,  "316.87"   ,  "5.85"   ,  3.23e-10   ,  "5122300200"   ,  0.46   ,  0.67   ,  2   ,  "Unknown class"   ,  "14 25 09.12"   ,  "-54 08 59.46"   ,  1.5   ,  16.06   ,  6.7   ,  7.33   ,  2.16972   ,  9   ,  "SAXJ1428.6-5422"   ,  "---"
109   , "SAXWFC J1511.0+0542.7"   ,  "ABELL2029"   ,  227.7375   ,  5.71089   ,  "6.43"   ,  "50.52"   ,  6.7e-11   ,  "0000101001"   ,  0   ,  0   ,  2   ,  "Cluster of galaxies"   ,  "00 00 00.0"   ,  "+00 00 00.0"   ,  1.8   ,  7.3   ,  0   ,  Infinity   ,  0   ,  6   ,  "ABELL2029"   ,  "---"
110   , "SAXWFC J1513.9-5908.8"   ,  "PSRB1509-58"   ,  228.48042   ,  -59.14708   ,  "320.31"   ,  "-1.18"   ,  9.51e-11   ,  "6114400200"   ,  0.68   ,  0   ,  1   ,  "Radio Pulsar"   ,  "15 13 55.43"   ,  "-59 08 08.8"   ,  1.6   ,  6.15   ,  6   ,  1.41   ,  2.20834   ,  5   ,  "PSRB1509-58"   ,  "---"
111   , "SAXWFC J1520.6-5709.8"   ,  "CirX-1"   ,  230.15958   ,  -57.164   ,  "322.11"   ,  "0.04"   ,  2.02e-8   ,  "6118000300"   ,  0.37   ,  0.83   ,  95   ,  "LMXRB"   ,  "15 16 48.48"   ,  "-56 59 11.54"   ,  1.3   ,  537.46   ,  190.8   ,  77.06   ,  3.29419   ,  9   ,  "CirX-1"   ,  "---"
112   , "SAXWFC J1542.4-5222.7"   ,  "4U1538-522"   ,  235.60875   ,  -52.37878   ,  "327.42"   ,  "2.16"   ,  5.82e-10   ,  "6114400100"   ,  0.63   ,  0.86   ,  20   ,  "HMXRB supergiant"   ,  "15 38 38.64"   ,  "-52 13 36.98"   ,  1.3   ,  20.1   ,  28.7   ,  3.25   ,  2.88373   ,  9   ,  "4U1538-522"   ,  "---"
113   , "SAXWFC J1544.0-5646.5"   ,  "XTEJ1543-568"   ,  236.0075   ,  -56.77569   ,  "324.94"   ,  "-1.48"   ,  1.61e-10   ,  "6114400300"   ,  0.65   ,  0   ,  1   ,  "HMXRB Be star"   ,  "15 40 03.59"   ,  "-56 36 26.45"   ,  1.4   ,  7.77   ,  11.9   ,  0.83   ,  4.90726   ,  5   ,  "XTEJ1543-568"   ,  "---"
114   , "SAXWFC J1547.9-6234.6"   ,  "4U1543-624"   ,  236.98125   ,  -62.57628   ,  "321.75"   ,  "-6.35"   ,  9e-10   ,  "6016900200"   ,  0.5   ,  0.74   ,  86   ,  "LMXRB"   ,  "15 43 34.07"   ,  "-62 24 50.86"   ,  1.3   ,  64.64   ,  32.1   ,  7.17   ,  3.83817   ,  9   ,  "4U1543-624"   ,  "---"
115   , "SAXWFC J1550.9-5628.5"   ,  "XTEJ1550-564"   ,  237.72   ,  -56.47439   ,  "325.87"   ,  "-1.82"   ,  5.08e-8   ,  "5072700200"   ,  0.94   ,  0.98   ,  20   ,  "LMXRB"   ,  "15 47 00.48"   ,  "-56 19 51.09"   ,  1.3   ,  305.04   ,  40.8   ,  43.86   ,  3.89097   ,  9   ,  "XTEJ1550-564"   ,  "---"
116   , "SAXWFC J1558.3+2712.7"   ,  "ABELL2142"   ,  239.58083   ,  27.21219   ,  "44.19"   ,  "48.68"   ,  6.5e-11   ,  "3072100100"   ,  1.18   ,  1.46   ,  8   ,  "Cluster of galaxies"   ,  "15 56 17.52"   ,  "+27 22 19.19"   ,  1.5   ,  9.12   ,  3.4   ,  5.58   ,  1.63346   ,  9   ,  "ABELL2142"   ,  "---"
117   , "SAXWFC J1601.1-6044.3"   ,  "4U1556-60"   ,  240.27542   ,  -60.739   ,  "324.14"   ,  "-5.94"   ,  4.07e-10   ,  "6114400200"   ,  0.48   ,  0.9   ,  47   ,  "LMXRB"   ,  "15 56 45.84"   ,  "-60 35 51.72"   ,  1.3   ,  32.03   ,  6.1   ,  7.35   ,  2.20834   ,  9   ,  "4U1556-60"   ,  "---"
118   , "SAXWFC J1612.7-5224.6"   ,  "4U1608-522"   ,  243.16458   ,  -52.41   ,  "330.92"   ,  "-0.84"   ,  1.15e-8   ,  "1008000100"   ,  0.93   ,  0.78   ,  18   ,  "LMXRB"   ,  "16 08 52.08"   ,  "-52 17 43.29"   ,  1.3   ,  222.52   ,  115.3   ,  36.3   ,  3.41857   ,  9   ,  "4U1608-522"   ,  "---"
119   , "SAXWFC J1619.9-1537.4"   ,  "ScoX-1"   ,  244.97542   ,  -15.62369   ,  "359.1"   ,  "23.79"   ,  2.11e-7   ,  "3005902000"   ,  1   ,  0.89   ,  99   ,  "LMXRB"   ,  "16 17 04.56"   ,  "-15 31 14.48"   ,  1.3   ,  570.6   ,  111.1   ,  42.1   ,  3.1837   ,  9   ,  "ScoX-1"   ,  "---"
120   , "SAXWFC J1628.0-4912.0"   ,  "4U1624-490"   ,  247.0025   ,  -49.20078   ,  "334.9"   ,  "-0.27"   ,  1.25e-9   ,  "2112400100"   ,  0.56   ,  0.82   ,  54   ,  "LMXRB"   ,  "16 24 19.44"   ,  "-49 05 21.11"   ,  1.3   ,  50.44   ,  27.2   ,  7.07   ,  4.09322   ,  9   ,  "4U1624-490"   ,  "---"
121   , "SAXWFC J1628.6+3931.5"   ,  "ABELL2199"   ,  247.1575   ,  39.52439   ,  "62.89"   ,  "43.69"   ,  6.96e-11   ,  "3072100100"   ,  1.35   ,  1.81   ,  16   ,  "Cluster of galaxies"   ,  "16 26 54.72"   ,  "+39 39 21.45"   ,  1.6   ,  8.64   ,  2.8   ,  5.29   ,  1.63346   ,  9   ,  "ABELL2199"   ,  "---"
122   , "SAXWFC J1632.1-6727.7"   ,  "4U1627-673"   ,  248.0325   ,  -67.46119   ,  "321.77"   ,  "-13.09"   ,  1.66e-10   ,  "5009600200"   ,  0.84   ,  0.97   ,  66   ,  "LMXRB"   ,  "16 27 14.63"   ,  "-67 21 17.45"   ,  1.4   ,  20.03   ,  11.7   ,  14.6   ,  1.35312   ,  9   ,  "4U1627-673"   ,  "---"
123   , "SAXWFC J1632.0-4751.5"   ,  "AXJ1631.9-4752"   ,  248.00833   ,  -47.85828   ,  "336.34"   ,  "0.17"   ,  0   ,  "5016500100"   ,  0.05   ,  0   ,  1   ,  "HMXRB"   ,  "16 28 20.4"   ,  "-47 45 09.61"   ,  1.6   ,  0   ,  0   ,  0   ,  1.85065   ,  6   ,  "AXJ1631.9-4752"   ,  "---"
124   , "SAXWFC J1634.0-4722.8"   ,  "4U1630-472"   ,  248.49583   ,  -47.38078   ,  "336.91"   ,  "0.26"   ,  5.64e-9   ,  "1008000100"   ,  0.83   ,  0.71   ,  9   ,  "LMXRB"   ,  "16 30 19.19"   ,  "-47 17 24.21"   ,  1.3   ,  98.72   ,  55.6   ,  16.11   ,  3.41857   ,  9   ,  "4U1630-472"   ,  "---"
125   , "SAXWFC J1638.1-6422.2"   ,  "IGRJ16377-6423"   ,  249.52042   ,  -64.3705   ,  "324.57"   ,  "-11.52"   ,  9.78e-11   ,  "2102700150"   ,  1.54   ,  3.19   ,  2   ,  "Cluster of galaxies"   ,  "16 33 34.55"   ,  "-64 15 36.57"   ,  1.7   ,  7.2   ,  -0.5   ,  4.22   ,  1.67336   ,  5   ,  "IGRJ16377-6423"   ,  "---"
