_id , wfccat_name, other_name , RA , Dec , LII , BII , 2-10keV_flux , ObsCode , Distance_Ref , Mean_distance_Ref , Num_detections , Classification , Ra_ref , Dec_ref , Error_radius , 2-8keV_SNR , 8-19keV_SNR , 2-8keV_SNR-sigthres_ratio , Emptyimage_sigthres , Quality_flag , Source_Name , Notes
126   , "SAXWFC J1641.0-5345.2"   ,  "4U1636-536"   ,  250.24042   ,  -53.75319   ,  "332.91"   ,  "-4.83"   ,  6.34e-9   ,  "5086900100"   ,  0.37   ,  0.79   ,  69   ,  "LMXRB"   ,  "16 36 56.39"   ,  "-53 39 17.81"   ,  1.3   ,  214.2   ,  65.2   ,  32.74   ,  2.89976   ,  9   ,  "4U1636-536"   ,  "---"
127   , "SAXWFC J1645.8-4536.3"   ,  "GX340+0"   ,  251.43958   ,  -45.60519   ,  "339.58"   ,  "-0.08"   ,  9.6e-9   ,  "2081000100"   ,  0.5   ,  0.73   ,  129   ,  "LMXRB"   ,  "16 42 09.36"   ,  "-45 31 12.57"   ,  1.3   ,  280.03   ,  97.1   ,  38.18   ,  3.06316   ,  9   ,  "GX340+0"   ,  "---"
128   , "SAXWFC J1654.0-3950.9"   ,  "GROJ1655-40"   ,  253.49125   ,  -39.84778   ,  "344.97"   ,  "2.45"   ,  6.81e-8   ,  "3005901300"   ,  0.44   ,  0.62   ,  42   ,  "LMXRB"   ,  "16 50 33.11"   ,  "-39 45 53.13"   ,  1.3   ,  504.48   ,  167.5   ,  65.86   ,  4.03937   ,  9   ,  "GROJ1655-40"   ,  "---"
129   , "SAXWFC J1653.8+3944.2"   ,  "MKN501"   ,  253.4475   ,  39.7375   ,  "63.56"   ,  "38.87"   ,  2.19e-10   ,  "5009600100"   ,  1.62   ,  1.02   ,  70   ,  "BL Lac"   ,  "16 52 11.75"   ,  "+39 50 24.89"   ,  1.5   ,  28.13   ,  10.9   ,  22.85   ,  1.22599   ,  9   ,  "MKN501"   ,  "---"
130   , "SAXWFC J1657.9+3521.1"   ,  "HerX-1"   ,  254.465   ,  35.35089   ,  "58.15"   ,  "37.51"   ,  9.87e-10   ,  "2147700110"   ,  0.64   ,  1.01   ,  42   ,  "LMXRB"   ,  "16 56 01.68"   ,  "+35 25 05.37"   ,  1.3   ,  177.02   ,  68.7   ,  94.25   ,  1.68566   ,  9   ,  "HerX-1"   ,  "---"
131   , "SAXWFC J1700.7-4139.4"   ,  "OAO1657-415"   ,  255.17917   ,  -41.65589   ,  "344.35"   ,  "0.33"   ,  1.13e-9   ,  "2097600100"   ,  1.35   ,  1.16   ,  13   ,  "HMXRB supergiant"   ,  "16 57 16.79"   ,  "-41 35 58.52"   ,  1.5   ,  12.04   ,  11.2   ,  1.46   ,  3.85241   ,  9   ,  "OAO1657-415"   ,  "---"
132   , "SAXWFC J1702.1-2957.9"   ,  "XB1658-298"   ,  255.52458   ,  -29.96558   ,  "353.8"   ,  "7.25"   ,  7.68e-10   ,  "2127200100"   ,  1.19   ,  1.28   ,  25   ,  "LMXRB"   ,  "16 58 55.43"   ,  "-29 52 27.76"   ,  1.8   ,  15.93   ,  6.6   ,  1.99   ,  4.34177   ,  9   ,  "XB1658-298"   ,  "---"
133   , "SAXWFC J1702.9-4847.5"   ,  "GX339-4"   ,  255.71292   ,  -48.79178   ,  "338.94"   ,  "-4.34"   ,  4.82e-9   ,  "5078700100"   ,  0.33   ,  0.79   ,  19   ,  "LMXRB"   ,  "16 59 01.92"   ,  "-48 43 06.52"   ,  1.3   ,  100.91   ,  3.6   ,  29.94   ,  2.40878   ,  9   ,  "GX339-4"   ,  "---"
134   , "SAXWFC J1703.9-3750.9"   ,  "4U1700-377"   ,  255.97708   ,  -37.84908   ,  "347.74"   ,  "2.17"   ,  2.87e-9   ,  "7117600700"   ,  0.51   ,  0.82   ,  96   ,  "HMXRB supergiant"   ,  "17 00 32.63"   ,  "-37 46 28.7"   ,  1.3   ,  48.81   ,  76.7   ,  7.16   ,  4.10551   ,  9   ,  "4U1700-377"   ,  "---"
135   , "SAXWFC J1705.7-3625.1"   ,  "GX349+2"   ,  256.435   ,  -36.41758   ,  "349.1"   ,  "2.75"   ,  1.39e-8   ,  "7113000100"   ,  0.31   ,  0.77   ,  154   ,  "LMXRB"   ,  "17 02 22.79"   ,  "-36 21 19.79"   ,  1.3   ,  355.2   ,  103.6   ,  98.38   ,  2.06665   ,  9   ,  "GX349+2"   ,  "---"
136   , "SAXWFC J1706.2-4302.0"   ,  "4U1702-429"   ,  256.54958   ,  -43.03278   ,  "343.88"   ,  "-1.31"   ,  2.03e-9   ,  "2047500300"   ,  0.63   ,  0.75   ,  81   ,  "LMXRB"   ,  "17 02 41.03"   ,  "-42 58 08.5"   ,  1.3   ,  46.71   ,  37.1   ,  7.31   ,  3.29379   ,  9   ,  "4U1702-429"   ,  "---"
137   , "SAXWFC J1706.6+2357.4"   ,  "4U1700+24"   ,  256.64958   ,  23.9575   ,  "45.13"   ,  "32.98"   ,  2.68e-10   ,  "2023100100"   ,  0.91   ,  1.3   ,  5   ,  "LMXRB"   ,  "17 04 29.76"   ,  "+24 02 13.95"   ,  1.6   ,  10.2   ,  2.6   ,  8.09   ,  1.22728   ,  9   ,  "4U1700+24"   ,  "---"
138   , "SAXWFC J1708.9-4406.9"   ,  "4U1705-440"   ,  257.21708   ,  -44.11478   ,  "343.3"   ,  "-2.35"   ,  6.99e-9   ,  "2038500200"   ,  1.03   ,  0.74   ,  114   ,  "LMXRB"   ,  "17 05 18.24"   ,  "-44 02 10.75"   ,  1.3   ,  160.32   ,  54.4   ,  30.15   ,  2.06157   ,  9   ,  "4U1705-440"   ,  "---"
139   , "SAXWFC J1709.0-3623.2"   ,  "IGRJ17091-3624"   ,  257.2525   ,  -36.38728   ,  "349.52"   ,  "2.24"   ,  0   ,  "21433006"   ,  2.06   ,  0   ,  1   ,  "Unknown class"   ,  "17 05 47.76"   ,  "-36 20 30.29"   ,  1.8   ,  0   ,  0   ,  0   ,  2.84072   ,  6   ,  "IGRJ17091-3624"   ,  "---"
140   , "SAXWFC J1709.5-2639.2"   ,  "1RXSJ170930.2-26"   ,  257.37458   ,  -26.65328   ,  "357.47"   ,  "7.91"   ,  5.26e-10   ,  "20268002"   ,  0.27   ,  0   ,  1   ,  "LMXRB"   ,  "17 06 23.76"   ,  "-26 35 41.82"   ,  2   ,  9.3   ,  0   ,  1.11   ,  4.69511   ,  6   ,  "1RXSJ170930.2-26"   ,  "---"
141   , "SAXWFC J1704.2+7838.0"   ,  "NGC6331"   ,  256.04708   ,  78.63389   ,  "110.99"   ,  "31.74"   ,  4.17e-11   ,  "5120900100"   ,  1.81   ,  3.13   ,  11   ,  "Galaxy"   ,  "17 06 24.96"   ,  "+78 41 41.24"   ,  1.4   ,  8.64   ,  2.4   ,  4.08   ,  2.11635   ,  9   ,  "NGC6331"   ,  "---"
142   , "SAXWFC J1711.6-3807.3"   ,  "SAXJ1711.6-3808"   ,  257.8925   ,  -38.12158   ,  "348.43"   ,  "0.8"   ,  1.08e-9   ,  "7117600700"   ,  1.25   ,  1.4   ,  5   ,  "LMXRB"   ,  "17 08 11.03"   ,  "-38 04 52.6"   ,  1.3   ,  26.67   ,  27.6   ,  3.91   ,  4.10551   ,  9   ,  "SAXJ1711.6-3808"   ,  "---"
143   , "SAXWFC J1712.4-4050.7"   ,  "4U1708-40"   ,  258.08875   ,  -40.84528   ,  "346.32"   ,  "-0.93"   ,  9.43e-10   ,  "7117600700"   ,  0.34   ,  0.92   ,  33   ,  "LMXRB"   ,  "17 08 52.8"   ,  "-40 47 01.78"   ,  1.3   ,  27.6   ,  9.7   ,  4.05   ,  4.10551   ,  9   ,  "4U1708-40"   ,  "---"
144   , "SAXWFC J1712.6-3739.5"   ,  "SAXJ1712.6-3739"   ,  258.1475   ,  -37.65869   ,  "348.92"   ,  "0.91"   ,  7.66e-10   ,  "2129800100"   ,  0.96   ,  1.21   ,  8   ,  "LMXRB"   ,  "17 09 10.07"   ,  "-37 35 02.75"   ,  1.4   ,  13.77   ,  2.2   ,  2.37   ,  3.27383   ,  9   ,  "SAXJ1712.6-3739"   ,  "---"
145   , "SAXWFC J1714.3-3402.8"   ,  "4U1711-34"   ,  258.57708   ,  -34.04689   ,  "352.05"   ,  "2.74"   ,  8.77e-10   ,  "2055901000"   ,  0.13   ,  0.96   ,  12   ,  "LMXRB"   ,  "17 11 01.2"   ,  "-33 59 28.46"   ,  1.4   ,  18.56   ,  7.7   ,  2.8   ,  2.96776   ,  9   ,  "4U1711-34"   ,  "---"
146   , "SAXWFC J1716.0-3851.9"   ,  "XTEJ1716-389"   ,  258.99917   ,  -38.86489   ,  "348.33"   ,  "-0.34"   ,  6.27e-10   ,  "7113000100"   ,  0.41   ,  1.22   ,  43   ,  "HMXRB supergiant"   ,  "17 12 31.19"   ,  "-38 48 33.11"   ,  1.4   ,  15.41   ,  3.8   ,  4.27   ,  2.06665   ,  9   ,  "XTEJ1716-389"   ,  "---"
147   , "SAXWFC J1723.6-3739.4"   ,  "XTEJ1723-376"   ,  260.905   ,  -37.65669   ,  "350.18"   ,  "-0.87"   ,  1.25e-9   ,  "2047500300"   ,  0.39   ,  0.54   ,  9   ,  "LMXRB"   ,  "17 20 11.51"   ,  "-37 36 56.12"   ,  1.3   ,  32.93   ,  16.9   ,  5.15   ,  3.29379   ,  9   ,  "XTEJ1723-376"   ,  "---"
148   , "SAXWFC J1725.1+1153.8"   ,  "1H1720+117"   ,  261.28   ,  11.89589   ,  "34.14"   ,  "24.47"   ,  1.56e-10   ,  "2027900100"   ,  1.66   ,  0   ,  1   ,  "BL Lac"   ,  "17 22 44.4"   ,  "+11 54 52.2"   ,  2.1   ,  6.4   ,  0   ,  5.94   ,  1.07684   ,  6   ,  "1H1720+117"   ,  "---"
149   , "SAXWFC J1727.5-3048.1"   ,  "4U1724-307"   ,  261.8725   ,  -30.80128   ,  "356.31"   ,  "2.3"   ,  7.65e-10   ,  "2055900500"   ,  0.78   ,  0.75   ,  74   ,  "LMXRB globular cluster"   ,  "17 24 19.92"   ,  "-30 45 39.42"   ,  1.4   ,  16.47   ,  12.2   ,  2.4   ,  3.43715   ,  9   ,  "4U1724-307"   ,  "---"
150   , "SAXWFC J1728.6+5901.5"   ,  "GRDra"   ,  262.14167   ,  59.02478   ,  "87.63"   ,  "33.57"   ,  3.89e-10   ,  "7102600500"   ,  0.84   ,  0.71   ,  5   ,  "Star G0 0"   ,  "17 27 55.91"   ,  "+59 04 16.71"   ,  1.3   ,  27.71   ,  5.1   ,  22.26   ,  1.23793   ,  9   ,  "GRDra"   ,  "---"
151   , "SAXWFC J1731.9-3350.2"   ,  "GX354-0"   ,  262.97958   ,  -33.83619   ,  "354.29"   ,  "-0.15"   ,  3.56e-9   ,  "2055901200"   ,  0.6   ,  0.84   ,  135   ,  "LMXRB"   ,  "17 28 39.83"   ,  "-33 47 56.54"   ,  1.3   ,  79.53   ,  64.9   ,  9.94   ,  3.59722   ,  9   ,  "GX354-0"   ,  "---"
152   , "SAXWFC J1731.7-1657.6"   ,  "GX9+9"   ,  262.92833   ,  -16.96078   ,  "8.51"   ,  "9.04"   ,  4.73e-9   ,  "3001100300"   ,  0.3   ,  0.78   ,  163   ,  "LMXRB"   ,  "17 28 50.15"   ,  "-16 55 32.41"   ,  1.3   ,  81.9   ,  26.4   ,  21.62   ,  2.43925   ,  9   ,  "GX9+9"   ,  "---"
153   , "SAXWFC J1732.0-2444.0"   ,  "GX1+4"   ,  263.00458   ,  -24.73389   ,  "1.94"   ,  "4.8"   ,  8.95e-10   ,  "2055901000"   ,  0.83   ,  1.07   ,  24   ,  "LMXRB"   ,  "17 28 58.8"   ,  "-24 42 35.71"   ,  1.4   ,  16.78   ,  41.4   ,  2.53   ,  2.96776   ,  9   ,  "GX1+4"   ,  "---"
154   , "SAXWFC J1733.4-3323.8"   ,  "RapidBurster"   ,  263.34458   ,  -33.39658   ,  "354.83"   ,  "-0.17"   ,  4.79e-9   ,  "2097601000"   ,  0.58   ,  0.87   ,  24   ,  "LMXRB globular cluster"   ,  "17 30 06.47"   ,  "-33 21 13.17"   ,  1.3   ,  98.62   ,  78.5   ,  13.31   ,  3.47107   ,  9   ,  "RapidBurster"   ,  "---"
155   , "SAXWFC J1734.2-2605.2"   ,  "KS1731-260"   ,  263.54375   ,  -26.08708   ,  "1.06"   ,  "3.66"   ,  3.73e-9   ,  "2026800200"   ,  0.52   ,  0.69   ,  115   ,  "LMXRB"   ,  "17 31 06.72"   ,  "-26 03 10.72"   ,  1.3   ,  105.32   ,  39.2   ,  7.29   ,  6.112   ,  9   ,  "KS1731-260"   ,  "---"
156   , "SAXWFC J1732.5+7413.2"   ,  "DRDra"   ,  263.12917   ,  74.22058   ,  "105.48"   ,  "31.36"   ,  4.36e-11   ,  "3102300300"   ,  0.8   ,  0   ,  1   ,  "RS CVn star"   ,  "17 34 02.88"   ,  "+74 15 33.12"   ,  2.4   ,  7.75   ,  -1.2   ,  5.98   ,  1.2965   ,  5   ,  "DRDra"   ,  "---"
157   , "SAXWFC J1738.2-2659.5"   ,  "SLX1735-269"   ,  264.555   ,  -26.991   ,  "0.79"   ,  "2.41"   ,  5.8e-10   ,  "2143301000"   ,  1.05   ,  0.95   ,  9   ,  "LMXRB"   ,  "17 35 08.4"   ,  "-26 58 36.29"   ,  1.4   ,  10.08   ,  2.1   ,  2.01   ,  2.18148   ,  9   ,  "SLX1735-269"   ,  "---"
158   , "SAXWFC J1738.9-4426.8"   ,  "4U1735-444"   ,  264.73625   ,  -44.44678   ,  "346.05"   ,  "-6.99"   ,  4.1e-9   ,  "2094300200"   ,  0.32   ,  0.67   ,  115   ,  "LMXRB"   ,  "17 35 19.19"   ,  "-44 25 20.2"   ,  1.3   ,  167.87   ,  59.1   ,  36.14   ,  2.85864   ,  9   ,  "4U1735-444"   ,  "---"
159   , "SAXWFC J1740.1-3103.0"   ,  "GRS1737-310"   ,  265.03167   ,  -31.05   ,  "357.57"   ,  "-0.11"   ,  2.85e-10   ,  "2026800200"   ,  0.67   ,  2.39   ,  6   ,  "LMXRB"   ,  "17 36 55.2"   ,  "-31 00 50.25"   ,  1.6   ,  5.84   ,  8.4   ,  0.4   ,  6.112   ,  6   ,  "GRS1737-310"   ,  "---"
160   , "SAXWFC J1740.7-2818.5"   ,  "SLX1737-282"   ,  265.17   ,  -28.30839   ,  "359.96"   ,  "1.25"   ,  1.24e-9   ,  "5088100310"   ,  0.55   ,  0   ,  1   ,  "LMXRB"   ,  "17 37 32.4"   ,  "-28 17 28.82"   ,  1.6   ,  12.37   ,  10   ,  2.52   ,  2.32093   ,  9   ,  "SLX1737-282"   ,  "---"
161   , "SAXWFC J1742.7-2744.9"   ,  "GRS1739-278"   ,  265.665   ,  -27.74769   ,  "0.67"   ,  "1.17"   ,  3.61e-9   ,  "2006200200"   ,  0.94   ,  1.05   ,  26   ,  "LMXRB"   ,  "17 39 31.19"   ,  "-27 44 25.4"   ,  1.3   ,  74.58   ,  2.6   ,  4.25   ,  8.41407   ,  9   ,  "GRS1739-278"   ,  "---"
162   , "SAXWFC J1743.8-2945.1"   ,  "1E1740.7-2942"   ,  265.95208   ,  -29.75108   ,  "359.09"   ,  "-0.1"   ,  3.55e-10   ,  "2055901200"   ,  1.39   ,  1.12   ,  50   ,  "LMXRB"   ,  "17 40 42.23"   ,  "-29 43 04.69"   ,  1.6   ,  11.38   ,  20.8   ,  1.42   ,  3.59722   ,  9   ,  "1E1740.7-2942"   ,  "---"
163   , "SAXWFC J1744.5-2844.6"   ,  "GROJ1744-28"   ,  266.13167   ,  -28.74319   ,  "0.03"   ,  "0.3"   ,  3.53e-9   ,  "2026800200"   ,  0.42   ,  0.72   ,  20   ,  "LMXRB"   ,  "17 41 22.8"   ,  "-28 43 04.18"   ,  1.3   ,  76.22   ,  154.7   ,  5.27   ,  6.112   ,  9   ,  "GROJ1744-28"   ,  "---"
164   , "SAXWFC J1744.9-2921.2"   ,  "KS1741-293"   ,  266.21667   ,  -29.353   ,  "359.55"   ,  "-0.08"   ,  2.65e-10   ,  "2055901100"   ,  0.68   ,  1.15   ,  3   ,  "LMXRB"   ,  "17 41 37.92"   ,  "-29 19 52.71"   ,  1.9   ,  6.39   ,  8.6   ,  0.83   ,  3.52777   ,  9   ,  "KS1741-293"   ,  "---"
165   , "SAXWFC J1746.0-2931.0"   ,  "1A1742-294"   ,  266.50667   ,  -29.51639   ,  "359.55"   ,  "-0.38"   ,  6.99e-10   ,  "2055900300"   ,  0.98   ,  0.73   ,  57   ,  "LMXRB"   ,  "17 42 54.71"   ,  "-29 29 58.3"   ,  1.3   ,  24.63   ,  20.4   ,  2.61   ,  3.45994   ,  9   ,  "1A1742-294"   ,  "---"
166   , "SAXWFC J1747.0-2853.3"   ,  "SAXJ1747.0-2853"   ,  266.74667   ,  -28.88828   ,  "0.19"   ,  "-0.24"   ,  2.42e-9   ,  "2097601400"   ,  0.67   ,  0.57   ,  16   ,  "LMXRB"   ,  "17 43 51.59"   ,  "-28 51 56.41"   ,  1.3   ,  61.65   ,  31.4   ,  7.48   ,  4.54127   ,  9   ,  "SAXJ1747.0-2853"   ,  "---"
167   , "SAXWFC J1747.5-3001.5"   ,  "SLX1744-300"   ,  266.86708   ,  -30.0245   ,  "359.27"   ,  "-0.91"   ,  7.16e-10   ,  "2097600900"   ,  1.84   ,  2.09   ,  58   ,  "LMXRB"   ,  "17 44 13.44"   ,  "-29 58 41.05"   ,  1.3   ,  19.18   ,  13.9   ,  2.44   ,  3.64693   ,  9   ,  "SLX1744-300"   ,  "---"
168   , "SAXWFC J1747.9-3009.0"   ,  "1RXSJ174735.7-300"   ,  266.97542   ,  -30.14958   ,  "359.22"   ,  "-1.06"   ,  1.08e-9   ,  "5006401400"   ,  8.91   ,  0   ,  0   ,  "Unknown class"   ,  "17 44 13.44"   ,  "-30 01 29.06"   ,  1.7   ,  6.57   ,  1   ,  1.57   ,  1.68869   ,  9   ,  "1RXSJ174735.7-300"   ,  "---"
169   , "SAXWFC J1747.9-2633.3"   ,  "GX3+1"   ,  266.98667   ,  -26.55458   ,  "2.3"   ,  "0.79"   ,  8.67e-9   ,  "2143300300"   ,  0.58   ,  0.65   ,  148   ,  "LMXRB"   ,  "17 44 48.71"   ,  "-26 32 49.45"   ,  1.3   ,  241.19   ,  114.6   ,  29.12   ,  3.54123   ,  9   ,  "GX3+1"   ,  "---"
170   , "SAXWFC J1748.1-2446.1"   ,  "EXO1745-248"   ,  267.02667   ,  -24.76908   ,  "3.85"   ,  "1.68"   ,  8.66e-9   ,  "2127200500"   ,  0.86   ,  1.01   ,  13   ,  "LMXRB globular cluster"   ,  "17 44 59.51"   ,  "-24 45 49.13"   ,  1.3   ,  149.83   ,  115.6   ,  22.84   ,  3.05551   ,  9   ,  "EXO1745-248"   ,  "---"
171   , "SAXWFC J1748.9-2021.3"   ,  "4U1745-203"   ,  267.22417   ,  -20.35489   ,  "7.73"   ,  "3.79"   ,  3.37e-9   ,  "5139600100"   ,  0.44   ,  0.57   ,  5   ,  "LMXRB globular cluster"   ,  "17 45 53.51"   ,  "-20 20 28.82"   ,  1.3   ,  62.11   ,  25.1   ,  7.54   ,  4.03461   ,  9   ,  "4U1745-203"   ,  "---"
172   , "SAXWFC J1750.2-3703.1"   ,  "4U1746-370"   ,  267.53917   ,  -37.05208   ,  "353.52"   ,  "-5"   ,  9.98e-10   ,  "2095300100"   ,  0.61   ,  0.72   ,  71   ,  "LMXRB globular cluster"   ,  "17 46 48.47"   ,  "-37 02 17.77"   ,  1.3   ,  24.59   ,  15.2   ,  4.59   ,  3.19357   ,  9   ,  "4U1746-370"   ,  "---"
173   , "SAXWFC J1750.4-2902.6"   ,  "SAXJ1750.8-2900"   ,  267.59792   ,  -29.04308   ,  "0.44"   ,  "-0.95"   ,  7.43e-10   ,  "2026800200"   ,  0.3   ,  0.63   ,  3   ,  "LMXRB"   ,  "17 47 13.19"   ,  "-29 01 29.1"   ,  1.3   ,  19.61   ,  8.9   ,  1.36   ,  6.112   ,  9   ,  "SAXJ1750.8-2900"   ,  "---"
174   , "SAXWFC J1750.8-3116.5"   ,  "GRS1747-312"   ,  267.69792   ,  -31.2745   ,  "358.57"   ,  "-2.17"   ,  5.8e-10   ,  "2055901000"   ,  1.16   ,  1.08   ,  18   ,  "LMXRB globular cluster"   ,  "17 47 31.19"   ,  "-31 16 44.5"   ,  1.4   ,  17.09   ,  12.5   ,  2.58   ,  2.96776   ,  9   ,  "GRS1747-312"   ,  "---"
175   , "SAXWFC J1751.2-3037.7"   ,  "XTEJ1751-305"   ,  267.79167   ,  -30.62808   ,  "359.17"   ,  "-1.91"   ,  8.96e-10   ,  "2143300900"   ,  0.81   ,  0   ,  1   ,  "X-ray binary"   ,  "17 48 00.23"   ,  "-30 36 36.68"   ,  1.3   ,  20.7   ,  19.1   ,  4.03   ,  2.21782   ,  9   ,  "XTEJ1751-305"   ,  "---"
176   , "SAXWFC J1755.5-3229.7"   ,  "XTEJ1755-324"   ,  268.88667   ,  -32.49519   ,  "358.03"   ,  "-3.66"   ,  6.68e-10   ,  "2022700100"   ,  1.37   ,  1.46   ,  2   ,  "LMXRB"   ,  "17 52 12.23"   ,  "-32 28 13.87"   ,  1.5   ,  15.07   ,  0.4   ,  3.94   ,  2.20049   ,  9   ,  "XTEJ1755-324"   ,  "---"
177   , "SAXWFC J1801.1-2504.9"   ,  "GX5-01"   ,  270.27292   ,  -25.08239   ,  "5.06"   ,  "-1.02"   ,  2.04e-8   ,  "2055901300"   ,  0.58   ,  0.68   ,  147   ,  "LMXRB"   ,  "17 58 03.11"   ,  "-25 04 43.21"   ,  1.3   ,  411.29   ,  105.3   ,  49.35   ,  3.81338   ,  9   ,  "GX5-01"   ,  "---"
178   , "SAXWFC J1801.2-2544.4"   ,  "GRS1758-258"   ,  270.30458   ,  -25.74028   ,  "4.51"   ,  "-1.37"   ,  4.97e-10   ,  "2097600100"   ,  0.27   ,  1.14   ,  20   ,  "LMXRB"   ,  "17 58 06.23"   ,  "-25 44 34.47"   ,  1.7   ,  12.07   ,  11.2   ,  1.47   ,  3.85241   ,  9   ,  "GRS1758-258"   ,  "---"
179   , "SAXWFC J1801.5-2031.6"   ,  "GX9+1"   ,  270.38292   ,  -20.52619   ,  "9.07"   ,  "1.15"   ,  1.15e-8   ,  "5048200200"   ,  0.17   ,  0.77   ,  143   ,  "LMXRB"   ,  "17 58 33.36"   ,  "-20 31 44.21"   ,  1.3   ,  220.53   ,  122.7   ,  36.27   ,  2.88929   ,  9   ,  "GX9+1"   ,  "---"
180   , "SAXWFC J1805.5-2031.1"   ,  "SAXJ1805.5-2031"   ,  271.37708   ,  -20.51839   ,  "9.54"   ,  "0.34"   ,  8.46e-10   ,  "2143300700"   ,  0.87   ,  0.83   ,  3   ,  "Unknown class"   ,  "18 02 35.28"   ,  "-20 31 05.84"   ,  1.6   ,  12.12   ,  1   ,  2.04   ,  2.46726   ,  9   ,  "SAXJ1805.5-2031"   ,  "---"
181   , "SAXWFC J1806.9-2434.7"   ,  "2S1803-245"   ,  271.71375   ,  -24.57889   ,  "6.15"   ,  "-1.91"   ,  3.17e-10   ,  "2055900700"   ,  1.4   ,  0   ,  1   ,  "LMXRB"   ,  "18 03 43.68"   ,  "-24 36 17.02"   ,  2.3   ,  6.12   ,  6.8   ,  0.84   ,  3.7486   ,  9   ,  "2S1803-245"   ,  "---"
182   , "SAXWFC J1808.4-3659.0"   ,  "SAXJ1808.4-3658"   ,  272.10875   ,  -36.98369   ,  "355.37"   ,  "-8.15"   ,  1.78e-9   ,  "3005900800"   ,  0.71   ,  0.92   ,  14   ,  "LMXRB"   ,  "18 05 05.04"   ,  "-36 59 05.67"   ,  1.3   ,  43.67   ,  14.4   ,  22.19   ,  1.50322   ,  9   ,  "SAXJ1808.4-3658"   ,  "---"
183   , "SAXWFC J1810.8-2609.0"   ,  "SAXJ1810.8-2609"   ,  272.70333   ,  -26.15069   ,  "5.2"   ,  "-3.45"   ,  4e-10   ,  "2055900200"   ,  2.58   ,  0   ,  1   ,  "LMXRB"   ,  "18 07 38.16"   ,  "-26 07 19.16"   ,  2   ,  6.08   ,  4   ,  0.67   ,  3.42246   ,  9   ,  "SAXJ1810.8-2609"   ,  "---"
184   , "SAXWFC J1814.5-1708.8"   ,  "GX13+1"   ,  273.61708   ,  -17.14689   ,  "13.51"   ,  "0.12"   ,  8.32e-9   ,  "1001300100"   ,  0.92   ,  0.73   ,  161   ,  "LMXRB"   ,  "18 11 36.72"   ,  "-17 10 23.08"   ,  1.3   ,  146.91   ,  41.5   ,  19.86   ,  4.05311   ,  9   ,  "GX13+1"   ,  "---"
185   , "SAXWFC J1815.1-1205.6"   ,  "4U1812-12"   ,  273.78417   ,  -12.09389   ,  "18.03"   ,  "2.39"   ,  4.02e-10   ,  "3001100300"   ,  2.45   ,  2.79   ,  9   ,  "LMXRB"   ,  "18 12 18.96"   ,  "-12 04 11.96"   ,  1.7   ,  9.1   ,  3.8   ,  2.4   ,  2.43925   ,  9   ,  "4U1812-12"   ,  "---"
186   , "SAXWFC J1816.0-1402.6"   ,  "GX17+2"   ,  274.00417   ,  -14.043   ,  "16.42"   ,  "1.27"   ,  3.58e-8   ,  "1012500100"   ,  0.4   ,  0.81   ,  175   ,  "LMXRB"   ,  "18 13 10.8"   ,  "-14 03 14.79"   ,  1.3   ,  299.96   ,  85.2   ,  16.21   ,  4.33843   ,  9   ,  "GX17+2"   ,  "---"
187   , "SAXWFC J1816.3+4953.1"   ,  "AMHer"   ,  274.0875   ,  49.8845   ,  "77.88"   ,  "25.86"   ,  1.43e-10   ,  "2138400100"   ,  1.6   ,  1.13   ,  71   ,  "CV AM Her (polar)"   ,  "18 14 58.79"   ,  "+49 50 55.03"   ,  1.3   ,  22.48   ,  5.5   ,  8.21   ,  2.54885   ,  9   ,  "AMHer"   ,  "---"
188   , "SAXWFC J1819.4-2524.0"   ,  "SAXJ1819.3-2525"   ,  274.84125   ,  -25.40008   ,  "6.78"   ,  "-4.79"   ,  7.29e-10   ,  "2097600700"   ,  1.61   ,  0   ,  1   ,  "LMXRB"   ,  "18 16 15.6"   ,  "-25 26 53.77"   ,  1.5   ,  7.79   ,  8   ,  0.96   ,  3.88327   ,  9   ,  "SAXJ1819.3-2525"   ,  "---"
189   , "SAXWFC J1823.7-3021.6"   ,  "4U1820-303"   ,  275.92542   ,  -30.36078   ,  "2.79"   ,  "-7.92"   ,  8.18e-9   ,  "2123600100"   ,  0.37   ,  0.66   ,  134   ,  "LMXRB globular cluster"   ,  "18 20 27.83"   ,  "-30 23 17.37"   ,  1.3   ,  168.16   ,  75.3   ,  9.43   ,  7.88609   ,  9   ,  "4U1820-303"   ,  "---"
