_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
195 , "WMAP5 J1218+4830" , 184.77667 , 48.49889 , "137.16" , "67.72" , 1.076 , "Blazar Q-type" , 638 , 619 , 700 , 700 , 700 , 700 , 600 , 158.7216 , "S41216+48 "
196 , "WMAP5 J1219+0549" , 184.84667 , 5.82528 , "281.8" , "67.37" , 0.007 , "Misd. NT-AGN RGal-type" , 9064 , 0 , 2700 , 2200 , 2000 , 1400 , 2000 , 181.4194 , "NGC4261 "
197 , "WMAP5 J1222+0414" , 185.58917 , 4.22111 , "284.8" , "66.06" , 0.967 , "Blazar Q-type" , 1351 , 800 , 700 , 700 , 1000 , 0 , "812" , 182.6861 , " "
198 , "WMAP5 J1223-8306" , 186.22708 , -83.21944 , "302.09" , "-20.4" , 0 , "Blazar Unknown-type" , 797 , 0 , 800 , 900 , 800 , 700 , 800 , 252.9198 , "PKS1221-82 "
199 , "WMAP5 J1229+0203" , 187.27792 , 2.05222 , "289.95" , "64.35" , 0.158 , "Blazar Q-type" , 36923 , 54992 , 20000 , 18400 , 16800 , 14600 , 10500 , 185.1693 , "3C273 "
200 , "WMAP5 J1230+1223" , 187.70583 , 12.39111 , "283.77" , "74.48" , 0.004 , "Misd. NT-AGN RGal-type" , 59027 , 138488 , 19700 , 15500 , 13300 , 9700 , 6200 , 181.3668 , "M87 "
201 , "WMAP5 J1239+0728" , 189.85042 , 7.50417 , "294.1" , "70.16" , 0.4 , "Blazar Unknown-type" , 606 , 567 , 1000 , 1000 , 900 , 1000 , "897" , 185.3752 , " "
202 , "WMAP5 J1246-2547" , 191.69458 , -25.79667 , "301.61" , "37.06" , 0.633 , "Blazar Q-type" , 2317 , 1165 , 1300 , 1400 , 1600 , 1500 , 1400 , 200.4437 , "PKS1244-255 "
203 , "WMAP5 J1248-4600" , 192.11583 , -45.99611 , "302.39" , "16.87" , 0 , "Unidentified " , 893 , 0 , 800 , 800 , 900 , 900 , 1400 , 211.1087 , " "
204 , "WMAP5 J1254+1142" , 193.65958 , 11.68444 , "305.87" , "74.53" , 0.873 , "Blazar Q-type" , 724 , 793 , 900 , 900 , 800 , 0 , "650" , 187.2112 , " "
205 , "WMAP5 J1256-0547" , 194.04583 , -5.78917 , "305.1" , "57.06" , 0.536 , "Blazar Q-type" , 11192 , 9711 , 17100 , 17900 , 18200 , 17000 , 13300 , 194.4752 , "3C279 "
206 , "WMAP5 J1258-3158" , 194.49583 , -31.92083 , "304.55" , "30.92" , 1.924 , "Blazar Q-type" , 1410 , 1144 , 1300 , 1100 , 1100 , 500 , 1600 , 205.6161 , "PKS1255-316 "
207 , "WMAP5 J1258+3226" , 194.64208 , 32.45722 , "107.17" , "84.45" , 0.0233 , "Blazar Q-type" , 57 , 150 , 700 , 600 , 800 , 500 , 500 , 178.0251 , "6CB125533.1+3245"
208 , "WMAP5 J1258-2223" , 194.72667 , -22.32556 , "305.2" , "40.51" , 1.306 , "Blazar Q-type" , 978 , 792 , 1000 , 800 , 800 , 700 , "628" , 201.6236 , "PKS1256-220 "
209 , "WMAP5 J1259+5141" , 194.87792 , 51.685 , "119.92" , "65.39" , 0 , "Unidentified " , 313 , 267 , 600 , 600 , 600 , 900 , 1000 , 163.7898 , " "
210 , "WMAP5 J1302+5748" , 195.71875 , 57.80972 , "119.95" , "59.25" , 0 , "Blazar Unknown-type" , 601 , 321 , 800 , 700 , 500 , 600 , 600 , 157.4964 , " "
211 , "WMAP5 J1305-4930" , 196.36417 , -49.46778 , "305.27" , "13.33" , 0.002 , "FIR Starburst galaxy" , 3055 , 0 , 1100 , 1000 , 800 , 1100 , 1000 , 216.4373 , "NGC4945 "
212 , "WMAP5 J1310+3222" , 197.61917 , 32.34528 , "85.69" , "83.34" , 0.996 , "Blazar B-type" , 1447 , 1687 , 2500 , 2500 , 2300 , 1600 , "1436" , 180.8692 , "1Jy1308+326 "
213 , "WMAP5 J1316-3337" , 199.03292 , -33.64972 , "308.8" , "28.93" , 1.21 , "Blazar Q-type" , 1093 , 1278 , 1700 , 1700 , 1900 , 1900 , 1600 , 210.1108 , "PKS1313-333 "
214 , "WMAP5 J1324-1047" , 201.1075 , -10.82306 , "315.93" , "51.21" , 0.872 , "Blazar Q-type" , 857 , 204 , 800 , 800 , 900 , 1200 , 2100 , 202.8571 , "PKSB1321-105 "
215 , "WMAP5 J1327+2213" , 201.75333 , 22.18056 , "3.37" , "80.52" , 1.4 , "Blazar Q-type" , 647 , 850 , 900 , 800 , 700 , 400 , "359" , 190.2511 , "GB6J1327+2210 "
216 , "WMAP5 J1329+3200" , 202.47 , 31.90306 , "64.95" , "80.37" , 0 , "Blazar B-type" , 518 , 829 , 800 , 600 , 400 , 400 , "359" , 185.3926 , "GB6J1329+3154 "
217 , "WMAP5 J1330+2502" , 202.65667 , 25.15278 , "22.45" , "80.98" , 1.055 , "Misd. NT-AGN QSO-type" , 3289 , 7052 , 1100 , 1000 , 900 , 800 , 700 , 189.651 , "3C287 "
218 , "WMAP5 J1331+3030" , 202.78417 , 30.50889 , "56.51" , "80.67" , 0.849 , "Misd. NT-AGN QSO-type" , 6350 , 14903 , 2200 , 1800 , 1400 , 1200 , "1077" , 186.8019 , "3C286 "
219 , "WMAP5 J1332+0200" , 203.22167 , 2.0125 , "326.24" , "62.99" , 0.216 , "Misd. NT-AGN QSO-type" , 1369 , 478 , 1400 , 1400 , 1300 , 1200 , 1200 , 200.0284 , "3C287.1 "
220 , "WMAP5 J1333+2723" , 203.28083 , 27.42167 , "37.12" , "80.73" , 2.126 , "Blazar Q-type" , 318 , 218 , 800 , 900 , 800 , 700 , "628" , 189.0561 , "GB6J1333+2725 "
221 , "WMAP5 J1336-3358" , 204.17958 , -33.97778 , "313.55" , "27.95" , 0.012 , "Misd. NT-AGN RGal-type" , 1886 , 1344 , 1900 , 1500 , 1200 , 1100 , "987" , 214.5427 , "IC4296 "
222 , "WMAP5 J1337-1257" , 204.41583 , -12.95667 , "320.02" , "48.37" , 0.539 , "Blazar Q-type" , 2838 , 2676 , 5800 , 6000 , 6100 , 5700 , 3900 , 206.6414 , "PKS1335-127 "
223 , "WMAP5 J1344+6601" , 205.94125 , 66.04056 , "114.66" , "50.24" , 0.776 , "Blazar Q-type" , 545 , 214 , 700 , 400 , 500 , 200 , 900 , 150.5807 , "S41342+663 "
224 , "WMAP5 J1347+1218" , 206.88917 , 12.28806 , "347.21" , "70.16" , 0.1217 , "Misd. NT-AGN RGal-type" , 3112 , 5397 , 1000 , 1100 , 900 , 900 , "807" , 199.5614 , "4C+1250 "
225 , "WMAP5 J1354-1041" , 208.69542 , -10.68389 , "327.15" , "49.18" , 0.332 , "Blazar Q-type" , 686 , 768 , 1600 , 1200 , 1200 , 1400 , 700 , 209.7677 , "PKS1352-104 "
226 , "WMAP5 J1356+1919" , 209.26833 , 19.31861 , "8.98" , "73.04" , 0.72 , "Blazar Q-type" , 2618 , 2586 , 1400 , 1600 , 1400 , 1400 , "1256" , 198.7758 , "4C19.44 "
227 , "WMAP5 J1356-1525" , 209.29667 , -15.45806 , "325.42" , "44.52" , 1.89 , "Blazar Q-type" , 841 , 682 , 800 , 900 , 700 , 800 , 900 , 211.8825 , "PKS1354-152 "
228 , "WMAP5 J1355+7647" , 209.48083 , 76.72222 , "118.02" , "39.76" , 0 , "Blazar Unknown-type" , 844 , 647 , 700 , 800 , 400 , 0 , "325" , 124.2926 , "6CB135734.8+7657"
229 , "WMAP5 J1408-0749" , 212.235 , -7.87417 , "333.88" , "50.28" , 1.494 , "Blazar Q-type" , 1080 , 689 , 1100 , 1000 , 1000 , 600 , "538" , 212.0374 , "PKS1406-076 "
230 , "WMAP5 J1411+5217" , 212.83542 , 52.2025 , "97.51" , "60.8" , 0.464 , "Misd. NT-AGN RGal-type" , 7374 , 22720 , 900 , 300 , 0 , 0 , "230" , 178.1476 , "3C295 "
231 , "WMAP5 J1415+1322" , 213.99875 , 13.3375 , "2.2" , "65.9" , 0.247 , "Blazar Unknown-type" , 846 , 1092 , 900 , 1000 , 800 , 1100 , 800 , 206.023 , " "
232 , "WMAP5 J1419+3822" , 214.94417 , 38.36333 , "69.79" , "68.37" , 1.831 , "Blazar Q-type" , 651 , 612 , 1100 , 1200 , 1100 , 1300 , "1166" , 193.6612 , "B31417+385 "
233 , "WMAP5 J1419+5425" , 214.94417 , 54.38722 , "98.29" , "58.31" , 0.153 , "Blazar B-type" , 1350 , 788 , 800 , 800 , 800 , 1300 , "1166" , 177.0974 , "1Jy1418+546 "
234 , "WMAP5 J1420+2704" , 214.99708 , 27.10694 , "37.96" , "70.32" , 0.536 , "Blazar Q-type" , 415 , 244 , 900 , 1100 , 1000 , 800 , 1000 , 200.8444 , "GB6J1419+2706 "
235 , "WMAP5 J1427-3302" , 216.9225 , -33.09194 , "325.18" , "25.58" , 0 , "Unidentified " , 352 , 161 , 1000 , 1400 , 1700 , 1500 , "1346" , 224.6314 , "PKS1424-328 "
236 , "WMAP5 J1427-4206" , 216.98458 , -42.10528 , "321.44" , "17.26" , 1.522 , "Blazar Q-type" , 2597 , 0 , 3100 , 2900 , 2800 , 2700 , 1900 , 228.0627 , "PKS1424-41 "
237 , "WMAP5 J1437+6337" , 219.19375 , 63.6125 , "105.17" , "49.72" , 2.068 , "Blazar Q-type" , 757 , 951 , 500 , 0 , 0 , 700 , "628" , 163.3182 , " "
238 , "WMAP5 J1442+5155" , 220.76125 , 52.02694 , "90.52" , "57.5" , 0.141 , "Misd. NT-AGN QSO-type" , 1070 , 2543 , 800 , 900 , 800 , 900 , 1000 , 186.132 , "3C303 "
239 , "WMAP5 J1446-1621" , 221.73125 , -16.35556 , "339.09" , "38.27" , 0 , "Unidentified " , 0 , 0 , 1000 , 1000 , 800 , 900 , "807" , 223.5697 , " "
240 , "WMAP5 J1457-3536" , 224.35375 , -35.64667 , "329.89" , "20.54" , 1.424 , "Blazar Q-type" , 566 , 675 , 800 , 900 , 1000 , 900 , 1000 , 231.6219 , " "
241 , "WMAP5 J1458+7140" , 224.78167 , 71.67194 , "109.98" , "42.09" , 0.905 , "Misd. NT-AGN QSO-type" , 3567 , 7469 , 1300 , 1200 , 900 , 0 , 600 , 141.2624 , "3C309.1 "
242 , "WMAP5 J1504+1030" , 226.10375 , 10.49389 , "11.37" , "54.58" , 1.839 , "Blazar Q-type" , 2325 , 1774 , 1600 , 1500 , 1300 , 800 , "718" , 219.6007 , "PKS1502+106 "
243 , "WMAP5 J1506-1644" , 226.77 , -16.875 , "343.64" , "35.05" , 0.876 , "Blazar Q-type" , 2840 , 2711 , 1400 , 1300 , 1000 , 800 , "718" , 228.2752 , "PKS1504-167 "
244 , "WMAP5 J1510-0546" , 227.72292 , -5.71861 , "353.9" , "42.93" , 1.185 , "Blazar Q-type" , 1742 , 3569 , 1100 , 1100 , 1100 , 800 , "718" , 226.1455 , "4C-05.64 "
245 , "WMAP5 J1512-0904" , 228.21042 , -9.1 , "351.28" , "40.13" , 0.36 , "Blazar Q-type" , 3080 , 2701 , 1800 , 1700 , 1900 , 1900 , 1600 , 227.5745 , "PKS1510-08 "
246 , "WMAP5 J1513-1000" , 228.43708 , -10.2 , "350.54" , "39.17" , 1.513 , "Blazar Q-type" , 1220 , 875 , 1300 , 1000 , 900 , 1300 , "1166" , 228.0764 , "PKS1511-10 "
247 , "WMAP5 J1516+0014" , 229.1675 , 0.25056 , "1.38" , "45.98" , 0.052 , "Misd. NT-AGN RGal-type" , 1641 , 923 , 1600 , 1800 , 1700 , 1500 , 700 , 225.9405 , "4C00.56 "
248 , "WMAP5 J1517-2421" , 229.42417 , -24.37194 , "340.68" , "27.57" , 0.049 , "Blazar B-type" , 2013 , 2042 , 2000 , 2100 , 2100 , 2000 , 2300 , 232.7486 , "APLIB "
249 , "WMAP5 J1540+1447" , 235.20625 , 14.79611 , "24.32" , "48.79" , 0.605 , "Blazar B-type" , 1210 , 1387 , 1000 , 800 , 800 , 800 , "718" , 227.9896 , "4C14.60 "
250 , "WMAP5 J1549+5036" , 237.32292 , 50.635 , "80.24" , "49.06" , 2.175 , "Blazar Q-type" , 731 , 630 , 900 , 800 , 1000 , 700 , 600 , 207.3758 , "S41547+507 "
251 , "WMAP5 J1549+0236" , 237.3725 , 2.61694 , "10.84" , "40.9" , 0.414 , "Blazar Q-type" , 1078 , 836 , 2700 , 2900 , 2400 , 2100 , 2200 , 233.765 , "PKS1546+027 "
252 , "WMAP5 J1550+0526" , 237.64708 , 5.45278 , "14.21" , "42.23" , 1.422 , "Blazar Q-type" , 1766 , 2303 , 2500 , 2100 , 1900 , 2000 , 1400 , 233.3421 , "4C05.64 "
253 , "WMAP5 J1602+3329" , 240.53 , 33.44806 , "53.73" , "48.71" , 1.1 , "Blazar Unknown-type" , 1656 , 2991 , 900 , 800 , 800 , 500 , 800 , 226.6882 , "4C33.38 "
254 , "WMAP5 J1604+5718" , 241.15583 , 57.24222 , "88.27" , "44.73" , 0.72 , "Blazar Q-type" , 329 , 496 , 700 , 700 , 800 , 500 , 600 , 200.1092 , " "
255 , "WMAP5 J1608+1027" , 242.19208 , 10.48528 , "23.02" , "40.78" , 1.226 , "Blazar Q-type" , 1412 , 1392 , 2000 , 2000 , 1900 , 1500 , 1100 , 237.0328 , "4C10.45 "
256 , "WMAP5 J1613+3412" , 243.42083 , 34.21306 , "55.14" , "46.37" , 1.397 , "Blazar Q-type" , 2324 , 4024 , 4100 , 3700 , 3400 , 2800 , 1800 , 230.1801 , "OS319 "
257 , "WMAP5 J1618-7716" , 244.45542 , -77.28833 , "313.43" , "-18.86" , 1.71 , "Blazar Q-type" , 3350 , 0 , 2400 , 2100 , 1900 , 1500 , 900 , 259.8661 , "PKS1610-77 "
258 , "WMAP5 J1623-6817" , 246.06958 , -68.15472 , "320.74" , "-13" , 1.354 , "Blazar Q-type" , 2123 , 0 , 700 , 600 , 600 , 0 , "487" , 256.7436 , " "
259 , "WMAP5 J1626+4127" , 246.48958 , 41.57639 , "65.74" , "44.21" , 2.55 , "Blazar Q-type" , 1253 , 1677 , 900 , 800 , 700 , 700 , "628" , 230.2684 , " "
260 , "WMAP5 J1633+8226" , 248.10875 , 82.53889 , "115.76" , "31.19" , 0.0247 , "Misd. NT-AGN RGal-type" , 1460 , 801 , 1300 , 1500 , 1500 , 1200 , 700 , 99.049 , "NGC6251 "
261 , "WMAP5 J1635+3807" , 248.81417 , 38.13444 , "61.08" , "42.33" , 1.813 , "Blazar Q-type" , 3221 , 2726 , 3900 , 4300 , 4200 , 3800 , 3100 , 235.6696 , "4C38.41 "
262 , "WMAP5 J1637+4713" , 249.43792 , 47.2925 , "73.43" , "41.87" , 0.74 , "Blazar Q-type" , 1244 , 1062 , 900 , 1000 , 1000 , 900 , "807" , 229.8922 , "4C47.44 "
263 , "WMAP5 J1638+5722" , 249.55583 , 57.34 , "86.63" , "40.36" , 0.75 , "Blazar Q-type" , 1750 , 1199 , 1300 , 1300 , 1400 , 1700 , 1000 , 213.5867 , "S41637+574 "
264 , "WMAP5 J1642+6854" , 250.5325 , 68.94389 , "100.7" , "36.62" , 0.751 , "Blazar Q-type" , 1527 , 1720 , 1400 , 1500 , 1500 , 1700 , 1200 , 152.6812 , "4C69.21 "
265 , "WMAP5 J1642+3948" , 250.74458 , 39.81028 , "63.45" , "40.95" , 0.593 , "Blazar Q-type" , 8719 , 7099 , 6500 , 6000 , 5500 , 4900 , 3900 , 237.607 , "3C345 "
266 , "WMAP5 J1637-7714" , 251.06708 , -77.26333 , "314.43" , "-19.97" , 0.043 , "Misd. NT-AGN RGal-type" , 2268 , 0 , 1400 , 900 , 800 , 700 , "628" , 261.6691 , "PKS1637-77 "
267 , "WMAP5 J1651+0458" , 252.78375 , 4.9925 , "23.04" , "28.94" , 0.154 , "Misd. NT-AGN RGal-type" , 11376 , 8482 , 1600 , 1100 , 1000 , 700 , "628" , 249.9261 , "HerA "
268 , "WMAP5 J1654+3939" , 253.4675 , 39.76 , "63.59" , "38.86" , 0.034 , "Blazar B-type" , 1375 , 1558 , 1200 , 1200 , 900 , 500 , "448" , 242.0528 , "MKR501 "
269 , "WMAP5 J1657+5706" , 254.33625 , 57.09806 , "85.73" , "37.85" , 1.281 , "Blazar Q-type" , 764 , 940 , 500 , 600 , 600 , 700 , 800 , 223.9195 , "4C57.28 "
270 , "WMAP5 J1657+4754" , 254.4775 , 47.82083 , "73.95" , "38.46" , 0 , "Blazar Q-type" , 0 , 0 , 1100 , 900 , 700 , 0 , "568" , 237.9783 , "S41656+47 "
271 , "WMAP5 J1658+0742" , 254.53708 , 7.69111 , "26.69" , "28.65" , 0.621 , "Blazar Q-type" , 1108 , 1413 , 1400 , 1500 , 1400 , 1600 , 1600 , 251.4858 , "PKS1655+077 "
272 , "WMAP5 J1658+0513" , 254.63667 , 5.25417 , "24.29" , "27.44" , 0.879 , "Blazar Q-type" , 1382 , 1534 , 800 , 600 , 500 , 400 , "359" , 252.042 , " "
273 , "WMAP5 J1659+6827" , 255.03875 , 68.50167 , "99.56" , "35.2" , 0.301 , "Blazar Q-type" , 380 , 346 , 200 , 500 , 600 , 700 , 600 , 154.1365 , "GB6J1700+6830 "
274 , "WMAP5 J1703-6214" , 255.90208 , -62.21111 , "328.11" , "-12.44" , 0 , "Blazar Q-type" , 616 , 0 , 1700 , 1700 , 1700 , 1400 , "1256" , 260.8843 , "PMNJ1703-6212 "
275 , "WMAP5 J1707+0148" , 256.89333 , 1.8125 , "22.13" , "23.82" , 2.568 , "Blazar Q-type" , 463 , 464 , 800 , 900 , 700 , 800 , "718" , 254.8825 , "PKS1705+018 "
276 , "WMAP5 J1715+6839" , 259.05792 , 68.61056 , "99.27" , "33.75" , 0.777 , "Blazar Q-type" , 838 , 489 , 600 , 600 , 600 , 0 , 700 , 147.6799 , "S41716+68 "
277 , "WMAP5 J1724-6500" , 260.92125 , -65.01 , "326.96" , "-15.84" , 0.014 , "Misd. NT-AGN RGal-type" , 4373 , 0 , 2300 , 2000 , 1600 , 1100 , 1200 , 264.2222 , "NGC6328 "
278 , "WMAP5 J1727+4530" , 261.865 , 45.51083 , "71.43" , "33.28" , 0.717 , "Blazar Q-type" , 935 , 914 , 900 , 1000 , 800 , 1200 , 1100 , 253.5702 , "S41726+45 "
279 , "WMAP5 J1736-7934" , 263.41958 , -79.59861 , "313.61" , "-23.27" , 0.876 , "Blazar Q-type" , 419 , 0 , 1000 , 1100 , 1200 , 900 , "807" , 267.3712 , "PKS1725-795 "
280 , "WMAP5 J1734+3857" , 263.58583 , 38.96417 , "64.02" , "31" , 0.97 , "Blazar Q-type" , 557 , 797 , 1200 , 1300 , 1200 , 1300 , "1166" , 258.5516 , "1Jy1732+389 "
281 , "WMAP5 J1738+5015" , 264.60875 , 50.25028 , "77.24" , "31.92" , 0 , "Unidentified " , 0 , 0 , 800 , 500 , 600 , 500 , "448" , 257.1146 , " "
282 , "WMAP5 J1740+4740" , 264.98792 , 47.63278 , "74.22" , "31.39" , 0 , "Blazar B-type" , 818 , 759 , 800 , 800 , 900 , 800 , "718" , 259.0508 , "S41738+476 "
283 , "WMAP5 J1740+5212" , 265.15375 , 52.19528 , "79.56" , "31.74" , 1.375 , "Blazar Q-type" , 1699 , 807 , 1200 , 1200 , 1300 , 1200 , 800 , 257.3872 , "4C51.37 "
284 , "WMAP5 J1748+7006" , 267.13667 , 70.0975 , "100.52" , "30.72" , 0.77 , "Blazar B-type" , 715 , 735 , 600 , 700 , 800 , 1000 , 700 , 104.0203 , "1Jy1749+701 "
285 , "WMAP5 J1753+4408" , 268.34458 , 44.16278 , "70.69" , "28.53" , 0.871 , "Blazar Q-type" , 1000 , 766 , 700 , 600 , 800 , 0 , 1100 , 266.2001 , "S41751+441 "
286 , "WMAP5 J1753+2848" , 268.42667 , 28.80111 , "54.13" , "24.46" , 1.118 , "Blazar Q-type" , 511 , 415 , 2100 , 1900 , 2100 , 2200 , 1600 , 266.9988 , "GB6J1753+2847 "
287 , "WMAP5 J1758+6632" , 269.63917 , 66.63278 , "96.46" , "29.95" , 0 , "Planetary Nebulae" , 875 , 772 , 600 , 600 , 600 , 400 , "359" , 182.3574 , "NGC6543 "
288 , "WMAP5 J1759+3852" , 270.10292 , 38.80833 , "65.16" , "26.03" , 2.092 , "Blazar Q-type" , 735 , 326 , 900 , 800 , 700 , 0 , "568" , 269.2371 , "S41758+3 "
289 , "WMAP5 J1800+7827" , 270.19042 , 78.46778 , "110.03" , "29.06" , 0.68 , "Blazar B-type" , 2620 , 2223 , 1800 , 1700 , 1600 , 1500 , 900 , 89.1886 , "S51803+784 "
290 , "WMAP5 J1801+4404" , 270.38417 , 44.07278 , "70.94" , "27.08" , 0.663 , "Blazar Q-type" , 1193 , 727 , 1200 , 1400 , 1600 , 1500 , 1100 , 270.0303 , "1Jy1800+440 "
291 , "WMAP5 J1803-6507" , 270.84792 , -65.12667 , "328.82" , "-19.63" , 0 , "Blazar Unknown-type" , 780 , 0 , 1200 , 1100 , 1300 , 1100 , 900 , 269.724 , "PKS1758-651 "
292 , "WMAP5 J1806+6949" , 271.71 , 69.82444 , "100.13" , "29.16" , 0.051 , "Blazar B-type" , 2122 , 1887 , 1400 , 1400 , 1200 , 1400 , 1200 , 79.1431 , "3C371 "
